Scene1,Figure1,Ground1,Scene2,Figure2,Ground2,number of comparisons,c1 selected,c2 selected,p_value_one_tail
sv_modtypo1,spoon,plate,sv_modtypo4,clock,board,8,8,0,0.00390625
sv_modtypo1,spoon,plate,sv_modtypo2,mug,pencil,6,2,4,0.890625
sv_modtypo1,spoon,plate,sv_modtypo3,pear,bowl,6,6,0,0.015625
sv_modtypo4,clock,board,sv_modtypo1,spoon,plate,8,0,8,1.0
sv_modtypo4,clock,board,sv_modtypo2,mug,pencil,11,1,10,0.99951171875
sv_modtypo4,clock,board,sv_modtypo3,pear,bowl,9,2,5,0.98046875
sv_modtypo2,mug,pencil,sv_modtypo1,spoon,plate,6,4,2,0.34375
sv_modtypo2,mug,pencil,sv_modtypo4,clock,board,11,10,1,0.005859375
sv_modtypo2,mug,pencil,sv_modtypo3,pear,bowl,9,9,0,0.001953125
sv_modtypo3,pear,bowl,sv_modtypo1,spoon,plate,6,0,6,1.0
sv_modtypo3,pear,bowl,sv_modtypo4,clock,board,9,5,2,0.5
sv_modtypo3,pear,bowl,sv_modtypo2,mug,pencil,9,0,9,1.0
