,Our Prototype,Exemplar,Conceptual Space,Best Guess,Simple,Proximity
in,0.779661016949153,0.847457627118644,0.745762711864407,0.898305084745763,0.898305084745763,0.576271186440678
inside,0.833333333333333,0.770833333333333,0.708333333333333,0.895833333333333,0.895833333333333,0.5625
against,0.871794871794872,0.846153846153846,0.863247863247863,0.709401709401709,0.726495726495726,0.581196581196581
on,0.878048780487805,0.932926829268293,0.865853658536585,0.939024390243902,0.859756097560976,0.774390243902439
on top of,0.953846153846154,0.915384615384615,0.961538461538462,0.869230769230769,0.869230769230769,0.784615384615385
under,0.773049645390071,0.950354609929078,0.737588652482269,0.829787234042553,0.879432624113475,0.319148936170213
below,0.91156462585034,0.850340136054422,0.782312925170068,0.904761904761905,0.904761904761905,0.231292517006803
over,0.776470588235294,0.776470588235294,0.752941176470588,0.670588235294118,0.670588235294118,0.482352941176471
above,0.879518072289157,0.819277108433735,0.855421686746988,0.771084337349398,0.771084337349398,0.674698795180723
Average,0.85080967646402,0.856577632656807,0.808111163265618,0.832001888711494,0.830609790320607,0.554051842854366
All,0.860369609856263,0.873716632443532,0.82135523613963,0.838809034907598,0.834702258726899,0.548254620123203
