Scene1,Figure1,Ground1,Scene2,Figure2,Ground2,p_value_one_tail
sv_modtypov1,table,bin,sv_modtypov3,shelf,pencil,0.03271484375
sv_modtypov4,tap,sink,sv_modtypov2,lid,pan,0.03515625
