,None removed,location_control,support
in,0.781464701032391,0.750152080229458,0.750152080229458
inside,0.849448749183274,0.8237625110132,0.8237625110132
against,0.864230509749182,0.836505480377575,0.873598610501937
on,0.88122544202186,0.88122544202186,0.848789327132377
on top of,0.952858451759755,0.919605202520848,0.886403330652435
under,0.770010297302035,0.677851506909528,0.741283415389974
below,0.906464863438605,0.906464863438605,0.906464863438605
over,0.764023446573052,0.776622872136583,0.717403688273208
above,0.870182076022205,0.870182076022205,0.870182076022205
Average,0.848878726342485,0.82693022607443,0.824226655850378
All,0.859473424203109,0.835764582907733,0.834197109619361
