Scene,Figure,Ground,ground_lightsource,ground_container,support,ground_verticality,size_ratio,shortest_distance,contact_proportion,above_proportion,below_proportion,bbox_overlap_proportion,horizontal_distance,f_covers_g,g_covers_f,figure_lightsource,figure_container,location_control
compsva24,table,picture,0,0,0.0,0,143.2489,0.1212365,0.0,0.7704403000000001,0.2295597000000001,0.005342309,0.3100263,0.7652800999999999,0.1127377,0,0,0.080122996995
compsva24,table,bin,0,1,0.0,0,26.09402,0.07333026,0.0,0.7704403000000001,0.0,0.0363468,0.2850676,0.9504981,0.07059612,0,0,0.0023701319822500002
compsva25,picture,bin,0,1,0.8659857,0,0.24638979999999996,0.126221,0.0,0.8,0.0,0.05230446,0.02608871,1.0,0.4973657,0,0,0.32794515999999996
compsva25,picture,table,0,0,0.009652582,0,0.009387846,0.10290730000000001,0.0,0.0,0.0,0.3644289,0.8491851999999999,0.05428435,0.3644289,0,0,0.354807125
compsva25,bin,picture,0,0,0.03072767,0,4.058609,1.794991e-05,0.47688559999999997,0.0,0.4343066,0.01288729,0.02608871,0.4973657,1.0,0,1,0.10021101
compsva25,bin,table,0,0,0.00766702,0,0.0381016,0.054557900000000006,0.0,0.0,0.02919708,0.2619555,0.8752556,0.01941361,0.2620406,0,1,0.15105471325
compsva25,table,picture,0,0,0.0,0,106.5207,0.16425720000000002,0.0,0.7704403000000001,0.2295597000000001,0.003421202,0.8491851999999999,0.3644289,0.05428435,0,0,0.001115194775
compsva25,table,bin,0,1,0.0,0,26.245620000000002,0.0908438,0.0,0.7704403000000001,0.0,0.009980924,0.8752556,0.2620406,0.01941361,0,0,0.001506973425
compsva34,balloon,bin,0,1,0.0,0,3.108675,0.6025593000000001,0.0,1.0,0.0,0.0,0.1393034,0.5750703,0.5272256999999999,0,0,0.0
compsva34,balloon,table,0,0,0.0,0,0.11844539999999999,0.2038083,0.0,1.0,0.0,0.0,0.8599188,0.08907015,0.9321296,0,0,0.0
compsva34,bin,balloon,0,0,0.001613474,1,0.3216805,0.6022938,0.0,0.0,1.0,0.0,0.1393034,0.4086801,0.690186,0,1,0.00019191146750000002
compsva34,bin,table,0,0,0.008106593,0,0.03810158,0.07642455,0.0,0.0,0.02919708,0.9996751,0.7269966999999999,0.07408624,1.0,0,1,0.1690663605
compsva34,table,balloon,0,0,0.0,1,8.442707,0.24414879999999997,0.0,0.0,1.0,0.0,0.8599188,0.8957275,0.09010849,0,0,7.276844e-06
compsva34,table,bin,0,1,0.0,0,26.24563,0.07867695,0.0,0.7704403000000001,0.0,0.03808921,0.7269966999999999,1.0,0.07408624,0,0,0.25086070180000003
compsvi12,pencil,cup,0,1,1.0,0,0.6952338,0.0,0.40909090000000004,0.5909091,0.0,0.47941300000000003,0.03110573,0.4959229,0.7925608000000001,0,0,0.78681845
compsvi12,pencil,table,0,0,0.9717703999999999,0,0.002653018,0.09187269,0.0,1.0,0.0,0.0,0.05768337,0.007899791,1.0,0,0,0.6528343750000001
compsvi12,pencil,cube,0,0,0.0,0,5.76025,0.0179968,0.0,0.8333333,0.0,0.0038626209999999997,0.1051408,0.1131333,0.05469501,0,0,0.7415970625
compsvi12,cup,pencil,0,0,0.1014953,1,1.438365,0.0009394649000000001,0.00693422,0.0,0.45585370000000003,0.3333041,0.03110573,0.7925608000000001,0.4959229,0,1,0.05206954899999999
compsvi12,cup,table,0,0,0.9978783000000001,0,0.0038160090000000004,0.0066618319999999995,0.06767989,1.0,0.0,0.0,0.02962918,0.01290792,1.0,0,1,0.634471475
compsvi12,cup,cube,0,0,0.03552997,0,8.285341,1.440411e-06,0.05803847,0.5034909000000001,0.0195203,0.05685853,0.08055551,0.4710924,0.1425099,0,1,0.36077114750000006
