,cluster_0,cluster_1
support,-0.6282480394372744,0.7937174414691641
shortest_distance,0.31814452000982696,-0.5931644732975754
contact_proportion,-0.4495031203312162,0.9005615256179067
above_proportion,0.969835616940105,0.8556445623716383
below_proportion,-0.5836901093022872,-0.7388854822695945
bbox_overlap_proportion,-0.2951818887642339,0.27360971171351817
horizontal_distance,0.1735500662623035,-0.07137636847320648
f_covers_g,0.4231977808268473,-0.4601757073856503
g_covers_f,0.1943837342351909,0.7814109175281103
location_control,-0.7026386543906578,0.9439598992775682
