Scene1,Figure1,Ground1,Scene2,Figure2,Ground2,number of comparisons,c1 selected,c2 selected,p_value_one_tail
sv_modtypu4,sink,tap,sv_modtypu3,pencil,shelf,7,4,3,0.5
sv_modtypu4,sink,tap,sv_modtypu2,bin,table,11,2,9,0.994140625
sv_modtypu4,sink,tap,sv_modtypu1,notepad,lamp,9,5,3,0.5
sv_modtypu3,pencil,shelf,sv_modtypu4,sink,tap,7,3,4,0.7734375
sv_modtypu3,pencil,shelf,sv_modtypu2,bin,table,8,3,5,0.85546875
sv_modtypu3,pencil,shelf,sv_modtypu1,notepad,lamp,8,5,3,0.36328125
sv_modtypu2,bin,table,sv_modtypu4,sink,tap,11,9,2,0.03271484375
sv_modtypu2,bin,table,sv_modtypu3,pencil,shelf,8,5,3,0.36328125
sv_modtypu2,bin,table,sv_modtypu1,notepad,lamp,11,9,2,0.03271484375
sv_modtypu1,notepad,lamp,sv_modtypu4,sink,tap,9,3,5,0.91015625
sv_modtypu1,notepad,lamp,sv_modtypu3,pencil,shelf,8,3,5,0.85546875
sv_modtypu1,notepad,lamp,sv_modtypu2,bin,table,11,2,9,0.994140625
