,Scene,Figure,Ground,selection_ratio,Refined Distinct Model,Distinct Prototype
0,compsva12,box,book,0.6666666666666666,0.24948430140265185,0.26296993931630874
1,compsva12,pear,book,0.6666666666666666,0.23343203312696903,0.24604998086356195
2,compsva13,balloon,book,0.75,0.31927039259843737,0.33652825165781236
3,compsva13,pear,book,0.5,0.10083922510167666,0.12956009121844406
4,compsva14,book,box,0.6666666666666666,0.2442847051860922,0.2574892838447999
5,compsva14,table,box,1.0,0.2647314513528292,0.2790412595340632
6,compsva15,balloon,book,0.7777777777777778,0.3306171535074619,0.3484883509943517
7,compsva15,pear,book,0.3333333333333333,0.10085660320935777,0.12958540339070262
8,compsva23,balloon,book,1.0,0.33060216368887835,0.34847255091530427
9,compsva23,box,book,0.0,0.22874200290199978,0.2411064354912971
10,compsva24,picture,bin,0.0,0.07969247587889626,0.10340392022504287
11,compsva24,table,bin,0.6666666666666666,0.26792843668926647,0.28241105488868634
12,compsva25,picture,bin,0.0,0.07506549627865489,0.09716974174032897
13,compsva25,table,bin,0.6666666666666666,0.27293203419569256,0.28768511712518946
14,compsva34,balloon,bin,0.8,0.3228712755792542,0.3403237769619166
15,compsva34,table,bin,0.8333333333333334,0.2723537632163383,0.2870755882550593
16,compsvi12,pencil,cup,0.0,0.0694577258171069,0.01704599456148141
17,compsvi12,pencil,table,0.2,0.10153651742811616,0.1307274561916937
18,compsvi12,cup,table,0.0,0.10237964083354478,0.1316379902990458
19,compsvi12,cube,cup,0.0,0.01584758371866692,0.014817591062073279
20,compsvi12,cube,table,0.2,0.10087706408254432,0.1292347661323866
21,compsvi13,pencil (1),mug,0.0,0.06866283378305951,0.01675871969154097
22,compsvi13,pencil,mug,0.0,0.019030012118877865,0.01650479125844389
23,compsvi14,ball,bowl,0.0,0.015559479345044262,0.014633529150889085
24,compsvi14,pencil,bowl,0.25,0.07867959071418659,0.10157441617142697
25,compsvi14a,cube,bowl,0.14285714285714285,0.07076414195296785,0.01733601291040442
26,compsvi14a,pear,bowl,0.2857142857142857,0.08822046810711864,0.11327659438061098
27,compsvi15,pencil,box,0.3333333333333333,0.008863375074823696,0.00860646565236504
28,compsvi15,pear,box,0.0,0.008147014919651658,0.007910869559661755
29,compsvi16,pear,bowl,0.0,0.1755444253528896,0.0059689168242349966
30,compsvi16,pencil,bowl,0.0,0.07321680473440635,0.01714053499385073
31,compsvi23,box,table,0.0,0.0067006863479716905,0.006506463555276859
32,compsvi23,box (1),table,0.0,0.007151376213984121,0.006944089946912119
33,compsvi24,cube,cup,0.0,0.016460584105480812,0.014618257108657723
34,compsvi24,pencil,cup,0.0,0.07475285228298997,0.09693493704724916
35,compsvi24a,pear,cup,0.0,0.21173966246121176,0.22318504962127728
36,compsvi24a,cube,cup,0.0,0.015299254102288726,0.014711571255084701
37,compsvi25,pencil,box,0.0,0.007904782776213032,0.007675658637772075
38,compsvi25,pencil (1),box,0.0,0.0061353179904460025,0.005957482686375104
39,compsvi26,cube,cup,0.0,0.01649036782307791,0.01464265544277333
