,in,inside,against,on,on top of,under,below,over,above
Refined Distinct Model,4.6460804705884094e-05,1.934817355969129e-07,5.15976941898851e-13,8.987846897245455e-29,5.260413796222114e-30,8.952058216641962e-19,7.395186702025143e-24,6.229672464474003e-10,6.629083976337469e-25
Distinct Prototype,0.0003786939184447406,5.357681159318586e-07,5.575734438277729e-09,2.7997594850890837e-30,1.6992741827158293e-27,3.2965828730223275e-19,1.9916919213745196e-21,7.299175377845124e-10,5.70362513204262e-26
