,Scene,Figure,Ground,selection_ratio,Refined Distinct Model,Distinct Prototype
0,compsva12,box,book,0.0,0.051712235469607584,0.04533027576960304
1,compsva12,pear,book,0.0,0.04334108287666554,0.0444293126291427
2,compsva13,balloon,book,0.0,0.05943056431319201,0.04558594590179817
3,compsva13,pear,book,0.0,0.048236139534364786,0.016376893798428674
4,compsva14,book,box,0.0,0.04915637503515523,0.04374194725104536
5,compsva14,table,box,0.0,0.06261223564820831,0.05290668319529105
6,compsva15,balloon,book,0.0,0.05899320755572222,0.04682406673211901
7,compsva15,pear,book,0.0,0.0482090834050534,0.016376236243182456
8,compsva23,balloon,book,0.0,0.0589971927222159,0.046820739196040614
9,compsva23,box,book,0.0,0.050436702830523546,0.04325513579041371
10,compsva24,picture,bin,0.0,0.052372221057109314,0.019716079222745184
11,compsva24,table,bin,0.0,0.061603859818157754,0.0524785629858614
12,compsva25,picture,bin,0.0,0.05687418453955209,0.022726123067529903
13,compsva25,table,bin,0.0,0.06528982970226865,0.054867330398268355
14,compsva34,balloon,bin,0.0,0.057346631079801126,0.04377617682147992
15,compsva34,table,bin,0.0,0.06328358993122302,0.05505928290271571
16,compsvi12,pencil,cup,0.0,0.04522181636683917,0.023469005812525208
17,compsvi12,pencil,table,0.0,0.04669503284513768,0.015844906688982873
18,compsvi12,cup,table,0.0,0.045684578592329515,0.01583812004912261
19,compsvi12,cube,cup,0.0,0.04662431833397977,0.026288248460569635
20,compsvi12,cube,table,0.0,0.04165689318894535,0.015637033551131923
21,compsvi13,pencil (1),mug,0.0,0.04281836628995488,0.02226669028186908
22,compsvi13,pencil,mug,0.0,0.06918237484919669,0.027856183062034197
23,compsvi14,ball,bowl,0.0,0.04368891544567549,0.023860597629035668
24,compsvi14,pencil,bowl,0.0,0.05275848565985562,0.02275125830556389
25,compsvi14a,cube,bowl,0.0,0.045588068773418436,0.021254447962261575
26,compsvi14a,pear,bowl,0.0,0.046660675652529446,0.01949081169854118
27,compsvi15,pencil,box,0.0,0.05841885676825934,0.061033137808859626
28,compsvi15,pear,box,0.0,0.022022282126479418,0.022690971822247195
29,compsvi16,pear,bowl,0.0,0.06195386885365762,0.05082369631900826
30,compsvi16,pencil,bowl,0.0,0.05187603625482279,0.02402349663540534
31,compsvi23,box,table,0.6666666666666666,0.049086057793365695,0.06668812186205697
32,compsvi23,box (1),table,0.6666666666666666,0.061061259912456284,0.09190909970828526
33,compsvi24,cube,cup,0.0,0.06320346750739174,0.028284474774561603
34,compsvi24,pencil,cup,0.0,0.050638891895066936,0.022280875220664492
35,compsvi24a,pear,cup,0.0,0.05120082138626225,0.04695724956812503
36,compsvi24a,cube,cup,0.0,0.03998530443546874,0.02467705783133888
37,compsvi25,pencil,box,0.0,0.053836759567461326,0.054317935518933484
38,compsvi25,pencil (1),box,0.0,0.06526762954328086,0.06651488833497873
39,compsvi26,cube,cup,0.0,0.06484465085749169,0.028510232637610256
40,compsvi26,pencil,cup,0.0,0.08710098858568983,0.05820406685007344
41,compsvi26a,pencil,lamp,0.09090909090909093,0.06120297513231487,0.07735223007056846
42,compsvi26a,bowl,lamp,0.0,0.08019394986721845,0.05778809988328732
43,compsvi3,pencil,mug,0.0,0.07085327170941297,0.0279509189136515
44,compsvi3,pear,mug,0.0,0.0662133351299558,0.05192484689449782
45,compsvi34,pencil (1),mug,0.0,0.0492784354571005,0.021586553892404613
46,compsvi34,pencil,mug,0.0,0.07018506497281081,0.02807906952885093
47,compsvi36,pencil,mug,0.0,0.07085512389144111,0.027950916843994884
48,compsvi36,pear,mug,0.0,0.06619464583370241,0.05188653818468417
49,compsvi45,pencil,mug,0.3333333333333333,0.0706883974492016,0.028114722859441027
50,compsvi45,cup,mug,0.0,0.06922248701166715,0.05747413397947735
51,compsvi46,ball,bowl,0.0,0.06562160703628629,0.05432370853004993
52,compsvi46,pencil,bowl,0.0,0.050447376790196105,0.022785043475755086
53,compsvinew1,cube,plate,0.0,0.04125899945296522,0.0197720643619581
54,compsvinew1,pencil,plate,0.3333333333333333,0.07016431754298016,0.06390465627674777
55,compsvo12,box,table,0.6666666666666666,0.04810001224293578,0.06341179904396368
56,compsvo12,book (1),table,0.0,0.04037173060050527,0.036718097781079304
57,compsvo12,book,table,0.0,0.04946287984990823,0.04376044959889566
58,compsvo12v,book,board,0.0,0.04641247969818609,0.01760016334699436
59,compsvo12v,clock,board,0.0,0.023892244146368286,0.02431266760396094
