,Scene,Figure,Ground,selection_ratio,Refined Distinct Model,Distinct Prototype
98,compsvo68a,balloon,table,0.3333333333333333,0.07641660556232041,0.03462228805396171
99,compsvo68a,box,table,0.0,0.057739860330199975,0.029679889975246634
100,compsvo69a,balloon,table,0.3333333333333333,0.07717911434371365,0.034497268742185165
101,compsvo69a,box,table,0.0,0.05588760828729606,0.028998404484955127
102,compsvo78,box,table,0.0,0.05774204247038316,0.02964940685700372
103,compsvo78,box (1),table,0.0,0.05301161053358719,0.028017358254281092
104,compsvo79,box,table,0.0,0.05579150854993775,0.029174691235181602
105,compsvo79,box (1),table,0.0,0.05301051714236911,0.02801584284318404
106,compsvo89,box,table,0.0,0.05774204247038316,0.02964940685700372
107,compsvo89,box (1),table,0.0,0.05310209144114546,0.028366868899445386
108,compsvu15,book,balloon,0.0,0.05727677066247627,0.027625126995954014
109,compsvu15,table,balloon,0.0,0.05373172294415514,0.027147938657526623
110,compsvu16,book,balloon,0.0,0.05261462302225877,0.026039523362009005
111,compsvu16,table,balloon,0.0,0.053731725035317715,0.02714794043404914
112,compsvu17,box,table,0.0,0.041326276288333026,0.02242483726001564
113,compsvu17,box (1),table,0.0,0.05408636198485251,0.027361129002195367
114,compsvu23,box,book,0.0,0.058272575022563965,0.028630336465778648
115,compsvu23,pear,book,0.0,0.05619442032565177,0.026817192316813517
116,compsvu25,book (1),book,0.0,0.08515486735935886,0.04136510609581022
117,compsvu25,cube,book,0.0,0.04459602656452917,0.02483432895533981
118,compsvu25,table,book,0.0,0.0564568548540731,0.028094174213133098
119,compsvu25a,box,balloon,0.0,0.03870992820704002,0.02279162374606877
120,compsvu25a,table,balloon,0.0,0.05457856306862553,0.027406751399036734
121,compsvu34,picture,book (1),0.0,0.05858908305364052,0.02930497513318005
122,compsvu34,table,book (1),0.0,0.05655411228213365,0.02769866161399239
123,compsvu53,box,book,0.0,0.05534747611973346,0.027387668811190154
124,compsvu53,table,book,0.0,0.056936143447252285,0.028233916272172994
125,compsvu56,box,balloon,0.0,0.04992550034919321,0.026132333264526048
126,compsvu56,table,balloon,0.0,0.05109570557452821,0.025563005949401627
127,compsvu63,box,book,0.0,0.05355818424998984,0.02625503024529043
128,compsvu63,table,book,0.0,0.056963103581724905,0.02824241142983456
129,compsvu67,box,balloon,0.0,0.048582932731398985,0.025443960613115973
130,compsvu67,table,balloon,0.0,0.04510379766295166,0.02427552918740307
131,compsvu67a,box,balloon,0.0,0.019172026701431286,0.016772706817393356
132,compsvu67a,table,balloon,0.0,0.05236615065327772,0.02593811828687311
133,compsvul,pencil,lamp,0.5,0.06466479610927046,0.04677898766885954
134,compsvul,bowl,lamp,0.0,0.05102016197053071,0.026502730810680285
135,compsvula,pencil,lamp,0.25,0.06470500803929324,0.04684866844295529
136,compsvula,bowl,lamp,0.0,0.0515405183622986,0.02690283690455453
137,compsvinew2,mug,shelf,0.2,0.07050706982803044,0.051265364774437196
138,compsvinew2,box,shelf,0.0,0.04396053874285187,0.024064875533411908
