,Scene,Figure,Ground,selection_ratio,Refined Distinct Model,Distinct Prototype
0,compsva12,box,book,0.0,0.020856485922216738,0.01524497693766342
1,compsva12,pear,book,0.0,0.02404337068887921,0.015699972104535612
2,compsva13,balloon,book,0.0,0.015673518470834997,0.011741889188227552
3,compsva13,pear,book,0.0,0.021449257507669944,0.015377927142327922
4,compsva14,book,box,0.0,0.020337838265994064,0.07325285235756757
5,compsva14,table,box,0.0,0.0153920780286471,0.011568711631820645
6,compsva15,balloon,book,0.0,0.01659765146070438,0.012102696260275238
7,compsva15,pear,book,0.0,0.02145363870926181,0.015383887461401315
8,compsva23,balloon,book,0.0,0.016596191728521247,0.012102179689573712
9,compsva23,box,book,0.0,0.08042210332658985,0.07705100977063377
10,compsva24,picture,bin,0.0,0.020385684723274566,0.014939613284604417
11,compsva24,table,bin,0.0,0.016594563152435366,0.01248421874999852
12,compsva25,picture,bin,0.0,0.02090353170794786,0.01549079011193928
13,compsva25,table,bin,0.0,0.016263487708618376,0.01216218106515029
14,compsva34,balloon,bin,0.0,0.016478226733158307,0.011983186071140893
15,compsva34,table,bin,0.0,0.016373423494872516,0.012380551491494775
16,compsvi12,pencil,cup,1.0,0.027892424302895725,0.10369809957229867
17,compsvi12,pencil,table,0.0,0.02123847399431614,0.015294064866132556
18,compsvi12,cup,table,0.0,0.021424889158794834,0.01548451406930422
19,compsvi12,cube,cup,0.0,0.07406596546836454,0.07403090486554283
20,compsvi12,cube,table,0.0,0.07435426231850344,0.07117222478323232
21,compsvi13,pencil (1),mug,1.0,0.09182088240322459,0.09344898731137227
22,compsvi13,pencil,mug,0.4,0.024449508569745343,0.01705855437349467
23,compsvi14,ball,bowl,1.0,0.09418454273484998,0.1793891094291225
24,compsvi14,pencil,bowl,0.0,0.022610693800564026,0.08526102585904027
25,compsvi14a,cube,bowl,1.0,0.028112641899924018,0.01867354907648408
26,compsvi14a,pear,bowl,0.8571428571428571,0.09646691824026503,0.09439284738373994
27,compsvi15,pencil,box,0.0,0.018949785066544957,0.013458285706326437
28,compsvi15,pear,box,1.0,0.1666666666666666,0.17938910942912242
29,compsvi16,pear,bowl,0.0,0.06815794479787157,0.06416931147320622
30,compsvi16,pencil,bowl,1.0,0.1034521329956153,0.10613343093178781
31,compsvi23,box,table,0.0,0.06046146044340468,0.10867480351363878
32,compsvi23,box (1),table,0.0,0.06442203119001798,0.008389375217733138
33,compsvi24,cube,cup,0.0,0.07463240925680761,0.07329708310467666
34,compsvi24,pencil,cup,0.0,0.08082194874486845,0.07697578341683092
35,compsvi24a,pear,cup,0.6666666666666666,0.0856191514648385,0.08197594856040406
36,compsvi24a,cube,cup,0.0,0.07111380014351125,0.0721719665363586
37,compsvi25,pencil,box,0.0,0.07065643921573805,0.06894770186433472
38,compsvi25,pencil (1),box,0.0,0.07353054364201929,0.07358419252125348
39,compsvi26,cube,cup,0.0,0.07471218602337398,0.0735599790726024
40,compsvi26,pencil,cup,0.0,0.016467807374840725,0.012618543378229718
41,compsvi26a,pencil,lamp,0.0,0.07762260157015877,0.00829740303530368
42,compsvi26a,bowl,lamp,0.0,0.01583917501637038,0.012149994897944771
43,compsvi3,pencil,mug,0.0,0.024338298678812802,0.01702298071084943
44,compsvi3,pear,mug,0.0,0.016899952418951092,0.013050901680197222
45,compsvi34,pencil (1),mug,0.0,0.08329224318046337,0.07987796954855884
46,compsvi34,pencil,mug,0.0,0.02441334345664759,0.01705359451491378
47,compsvi36,pencil,mug,0.0,0.02433853168997811,0.017023136249126256
48,compsvi36,pear,mug,0.0,0.016895553406583823,0.013049752671788735
49,compsvi45,pencil,mug,0.3333333333333333,0.024390354220935762,0.017031980026945774
50,compsvi45,cup,mug,0.0,0.01743916024185749,0.013078960248748705
51,compsvi46,ball,bowl,0.0,0.018841316741158604,0.06410240017579812
52,compsvi46,pencil,bowl,0.0,0.0922721161141798,0.08895906263389869
53,compsvinew1,cube,plate,0.0,0.02392648332191329,0.017156489979234687
54,compsvinew1,pencil,plate,0.0,0.01904793283501103,0.013506946451140521
55,compsvo12,box,table,0.0,0.05259539183196037,0.09455662549924292
56,compsvo12,book (1),table,0.0,0.02146930534953036,0.015380304933725823
57,compsvo12,book,table,0.0,0.07132325918624756,0.06845999655160098
58,compsvo12v,book,board,0.0,0.07982149304278849,0.07693283957556564
59,compsvo12v,clock,board,0.0,0.11342218095204594,0.14773488137049784
60,compsvo13v,jar,board,0.0,0.017521465774454598,0.013006893473013537
61,compsvo13v,book,board,0.0,0.07967059784552956,0.07684833175775997
62,compsvo14,book (1),table,0.0,0.07357794535976059,0.07108775963709844
63,compsvo14,book,table,0.0,0.021541036148145867,0.01539508692820519
64,compsvo14a,box,table,0.0,0.021042031526289168,0.07128786779451923
65,compsvo14a,book,table,0.0,0.02072453358080683,0.014919939130140093
66,compsvo14v,jar,board,0.0,0.01634955032870114,0.0125104433598713
67,compsvo14v,book,board,0.0,0.07970341445037235,0.0768672941789962
68,compsvo16,balloon,table,0.0,0.016798346050584383,0.012087649480481208
69,compsvo16,book,table,0.0,0.07500381111142854,0.07233050646201807
70,compsvo16a,balloon,table,0.0,0.07199517956871819,0.06755442491830031
71,compsvo16a,book,table,0.0,0.07502074851320896,0.07234112542636582
72,compsvo17,box,table,0.0,0.06433590522253985,0.00838731175121504
73,compsvo17,book,table,0.0,0.020509085164536645,0.014691478318237498
74,compsvo18,box,table,0.0,0.01599426074614438,0.012279455349770542
75,compsvo18,book,table,0.0,0.07514305478853191,0.07249119879284133
76,compsvo19,box,table,0.0,0.015610351931359975,0.012013715124633369
77,compsvo19,book,table,0.0,0.07513059854494164,0.07248338698811953
78,compsvo23v,jar,board,0.0,0.017515673698512733,0.012998477495845583
79,compsvo23v,clock,board,0.0,0.11349279587060064,0.14756555488259676
80,compsvo24,pear,table,0.0,0.07084243985485573,0.06807327915736276
81,compsvo24,book,table,0.0,0.07205495411330713,0.06905675826780404
82,compsvo24v,jar,board,0.0,0.0163437914585393,0.012505708950789113
83,compsvo24v,clock,board,0.0,0.11349386689960025,0.14755871652943509
84,compsvo26,balloon,table,0.0,0.016798346050584383,0.012087649480481208
85,compsvo26,book,table,0.0,0.020371343746561844,0.0685204653855176
86,compsvo27,box,table,0.0,0.06434978472416386,0.008387476224649642
87,compsvo27,book,table,0.0,0.07263507975732617,0.06957493358086614
88,compsvo28,box,table,0.0,0.015990315696521273,0.012276912710185984
89,compsvo28,book,table,0.0,0.020332630899574263,0.01474155084301818
90,compsvo29,box,table,0.0,0.015577409031678468,0.011983775528575252
