,Scene,Figure,Ground,selection_ratio,Refined Distinct Model,Distinct Prototype
0,compsva12,box,book,0.0,0.061953119581835164,0.10910226366917306
1,compsva12,pear,book,0.0,0.058864606750120514,0.16698327220952555
2,compsva13,balloon,book,0.0,0.057592136385149505,0.045576804782325335
3,compsva13,pear,book,0.25,0.06026378200808761,0.12516765286428047
4,compsva14,book,box,0.0,0.06175925485469415,0.10378788905534841
5,compsva14,table,box,0.0,0.05686476918409521,0.04271367259473101
6,compsva15,balloon,book,0.0,0.058734425830907454,0.0463219903721697
7,compsva15,pear,book,0.0,0.060344610939231255,0.12543667839925843
8,compsva23,balloon,book,0.0,0.0587393729373745,0.046328021562867396
9,compsva23,box,book,0.0,0.0660606685480923,0.11486821957661476
10,compsva24,picture,bin,0.0,0.055248523029290265,0.15672540206268057
11,compsva24,table,bin,0.0,0.06427267032816857,0.04476885593957697
12,compsva25,picture,bin,0.0,0.0667342841742663,0.14005206786045757
13,compsva25,table,bin,0.3333333333333333,0.07022850908337494,0.05616996880693701
14,compsva34,balloon,bin,0.0,0.056104306759979294,0.04123262014587394
15,compsva34,table,bin,0.0,0.0674883310738273,0.12227063327182834
16,compsvi12,pencil,cup,0.0,0.08774904053344325,0.24968899122432323
17,compsvi12,pencil,table,0.0,0.060698782916852156,0.13082901906333602
18,compsvi12,cup,table,0.0,0.060935737343514595,0.13180550411233138
19,compsvi12,cube,cup,1.0,0.12802768441162074,0.3173182309631692
20,compsvi12,cube,table,0.0,0.06075116043779778,0.1276822556620432
21,compsvi13,pencil (1),mug,0.3333333333333333,0.07936845896524358,0.24226070802533933
22,compsvi13,pencil,mug,0.8,0.15061217326569926,0.2526923183722554
23,compsvi14,ball,bowl,0.0,0.10021556619029913,0.2800506320276134
24,compsvi14,pencil,bowl,0.125,0.08074855780555523,0.16349000280781506
25,compsvi14a,cube,bowl,0.2857142857142857,0.09123898901407125,0.24125547455180507
26,compsvi14a,pear,bowl,0.14285714285714285,0.0661148283625116,0.13698304735846853
27,compsvi15,pencil,box,0.3333333333333333,0.12879015743922118,0.025315542888818175
28,compsvi15,pear,box,0.0,0.06628169755944807,0.06047146811023587
29,compsvi16,pear,bowl,0.0,0.11837256474422181,0.19304674948310907
30,compsvi16,pencil,bowl,0.0,0.0937336696776532,0.178630691374412
31,compsvi23,box,table,0.0,0.09047538175042988,0.10972673531605062
32,compsvi23,box (1),table,0.0,0.08094988248007774,0.04547367254029695
33,compsvi24,cube,cup,1.0,0.14427979313576472,0.21020649693201082
34,compsvi24,pencil,cup,0.0,0.07427331182676093,0.1593466371888376
35,compsvi24a,pear,cup,0.0,0.07004217269694098,0.11981201276315817
36,compsvi24a,cube,cup,1.0,0.11274101359650399,0.3384905423512389
37,compsvi25,pencil,box,0.0,0.145253620250883,0.025968474798843857
38,compsvi25,pencil (1),box,0.3333333333333333,0.1423404797103896,0.1862441694573305
39,compsvi26,cube,cup,1.0,0.15138768546544826,0.21485921182354512
40,compsvi26,pencil,cup,0.0,0.10376871032443562,0.07286943583610968
41,compsvi26a,pencil,lamp,0.2727272727272727,0.12077142604585797,0.1334239421251028
42,compsvi26a,bowl,lamp,0.0,0.0982706421063058,0.062223120456120794
43,compsvi3,pencil,mug,1.0,0.15179878820013992,0.251587283693505
44,compsvi3,pear,mug,0.5,0.13703858593663432,0.23708340796958216
45,compsvi34,pencil (1),mug,0.3333333333333333,0.07057631946933673,0.1537663562149469
46,compsvi34,pencil,mug,0.6666666666666666,0.1517753930230029,0.2570683633565241
47,compsvi36,pencil,mug,1.0,0.15179438254195643,0.2515668603455547
