,in,inside,against,on,on top of,under,below,over,above
Refined Distinct Model,0.30115959223977884,0.450049776381598,0.6490647773979811,0.7739151295194842,0.772862749935363,0.6477671237723573,0.6215784511184909,0.4774168772323903,0.6736933231030668
Distinct Prototype,0.297326235352854,0.4100528624362811,0.4694042131962404,0.7849846580855261,0.7607563585250183,0.6666781231901536,0.695755227963367,0.4925845050007454,0.7461249666064895
