,Scene,Figure,Ground,selection_ratio,Refined Distinct Model,Distinct Prototype
29,compsvi16,pear,bowl,0.0,0.03911023499759352,0.04284276249476422
30,compsvi16,pencil,bowl,0.0,0.5102641742605588,0.38691287508281674
31,compsvi23,box,table,0.0,0.3137330840609478,0.2084601791198563
32,compsvi23,box (1),table,0.0,0.034595685495383305,0.03719618517886131
33,compsvi24,cube,cup,0.0,0.05050915400252724,0.053761146765026586
34,compsvi24,pencil,cup,1.0,0.41920406003527894,0.45725411153398593
35,compsvi24a,pear,cup,0.0,0.4560746470671014,0.4414960683100591
36,compsvi24a,cube,cup,0.0,0.24926278565702842,0.23347201739423135
37,compsvi25,pencil,box,0.0,0.22805105434093811,0.1937284300769442
38,compsvi25,pencil (1),box,1.0,0.46420618147792797,0.367485520066949
39,compsvi26,cube,cup,0.6666666666666666,0.051819920167168354,0.055155150297818756
40,compsvi26,pencil,cup,0.0,0.035732830273870884,0.03954735482510188
41,compsvi26a,pencil,lamp,0.9090909090909092,0.05532284170783127,0.05788290629187292
42,compsvi26a,bowl,lamp,0.0,0.033300966629321756,0.03757581967490668
43,compsvi3,pencil,mug,0.5,0.07427933437177979,0.0760453420337942
44,compsvi3,pear,mug,0.25,0.03919516589452046,0.04275821809069445
45,compsvi34,pencil (1),mug,1.0,0.5165839491122981,0.4446487239684089
46,compsvi34,pencil,mug,0.3333333333333333,0.07425095273014355,0.07575198451872908
47,compsvi36,pencil,mug,0.3333333333333333,0.07428026270659736,0.0760454198801359
48,compsvi36,pear,mug,0.0,0.03918604116651252,0.042748977606299185
49,compsvi45,pencil,mug,0.0,0.07438786948231599,0.07602925965735031
50,compsvi45,cup,mug,0.0,0.038977071109240015,0.04275715720747105
51,compsvi46,ball,bowl,0.0,0.04860035059687668,0.05277037768828494
52,compsvi46,pencil,bowl,0.8571428571428571,0.459562784886576,0.4769919858703704
53,compsvinew1,cube,plate,1.0,0.3148477760901732,0.3592220528110052
54,compsvinew1,pencil,plate,0.0,0.04101001993393447,0.17628259532694196
55,compsvo12,box,table,0.0,0.31405347661972277,0.21208918970830806
56,compsvo12,book (1),table,1.0,0.9321739637334094,0.9321739637334094
57,compsvo12,book,table,0.6666666666666666,0.5435840482100275,0.5544583331888729
58,compsvo12v,book,board,0.75,0.6309985064341868,0.6322220577955587
59,compsvo12v,clock,board,1.0,0.5876137576774275,0.478771145452767
60,compsvo13v,jar,board,0.0,0.03785284889252937,0.041607907194939384
61,compsvo13v,book,board,0.8571428571428571,0.6320727002215176,0.633766873435902
62,compsvo14,book (1),table,1.0,0.6067396926725842,0.6138929521643874
63,compsvo14,book,table,1.0,0.9142742832105218,0.9142742832105218
64,compsvo14a,box,table,0.75,0.6212104798929204,0.6371393418236044
65,compsvo14a,book,table,0.25,0.5297218559133964,0.5318052043898197
66,compsvo14v,jar,board,0.0,0.03495224155345948,0.038850579497236214
67,compsvo14v,book,board,0.75,0.6318836279148096,0.6334851747068919
68,compsvo16,balloon,table,0.0,0.08554187278327315,0.048423042391170325
69,compsvo16,book,table,1.0,0.881182887051459,0.881182887051459
70,compsvo16a,balloon,table,0.0,0.08536866853156289,0.036408433295578496
71,compsvo16a,book,table,1.0,0.8797770562210424,0.8797770562210424
72,compsvo17,box,table,0.0,0.034388597230134134,0.03701372980276268
73,compsvo17,book,table,1.0,0.9999999999999997,0.9999999999999997
74,compsvo18,box,table,0.0,0.03425835736413238,0.038233541560432696
75,compsvo18,book,table,1.0,0.8792253351213194,0.8792253351213194
76,compsvo19,box,table,0.0,0.0326759206904376,0.03676778612410353
77,compsvo19,book,table,1.0,0.8802495613117692,0.8802495613117692
78,compsvo23v,jar,board,0.16666666666666666,0.0377645681849907,0.0415202796062347
79,compsvo23v,clock,board,1.0,0.5852349898548885,0.47687722999069415
80,compsvo24,pear,table,0.8,0.13994086494910327,0.07677310476670648
81,compsvo24,book,table,0.8,0.5493640987747188,0.5589239948326378
82,compsvo24v,jar,board,0.0,0.034926658730202814,0.03882778049807358
83,compsvo24v,clock,board,1.0,0.5851270321392746,0.47679916468084427
84,compsvo26,balloon,table,0.0,0.08554187278327315,0.048423042391170325
85,compsvo26,book,table,1.0,0.5443871955626888,0.5542044308019382
86,compsvo27,box,table,0.0,0.03449544823691525,0.03711765875172223
87,compsvo27,book,table,1.0,0.56275038646288,0.573502288962051
88,compsvo28,box,table,0.0,0.03428018676763158,0.03826109313445473
89,compsvo28,book,table,1.0,0.5409964967290793,0.5527494399359694
90,compsvo29,box,table,0.0,0.03257702595551697,0.03668757415930774
91,compsvo29,book,table,0.8333333333333334,0.542326588840934,0.5539388413759304
92,compsvo34v,jar,board,0.5,0.03776060365540338,0.041516332758235026
93,compsvo34v,book,board,0.25,0.03367530708545123,0.0378975740824243
94,compsvo67,balloon,table,0.0,0.08554187278327315,0.048423042391170325
95,compsvo67,box,table,0.0,0.034495369762779886,0.037117583495221096
96,compsvo68,balloon,table,0.0,0.08537667636930035,0.048860867620755824
97,compsvo68,box,table,0.0,0.03424264299812586,0.03821880668322499
98,compsvo68a,balloon,table,0.0,0.08536866853156289,0.036408433295578496
99,compsvo68a,box,table,0.0,0.03424189847622383,0.0382178171847616
100,compsvo69a,balloon,table,0.3333333333333333,0.08572156399671399,0.0363626581657609
101,compsvo69a,box,table,0.0,0.03231844219948623,0.036468234339698494
102,compsvo78,box,table,0.0,0.03428750818364594,0.03827385664094179
103,compsvo78,box (1),table,0.0,0.04011474367950617,0.04338636398670368
104,compsvo79,box,table,0.0,0.03199159929981384,0.036129099838235514
105,compsvo79,box (1),table,0.0,0.04011518900526287,0.04338711632535909
106,compsvo89,box,table,0.0,0.03428750818364594,0.03827385664094179
107,compsvo89,box (1),table,0.0,0.028828446071047696,0.032982075787543114
108,compsvu15,book,balloon,0.0,0.02798529851086256,0.03148978158805708
109,compsvu15,table,balloon,0.0,0.02615348586315581,0.03005273087974007
110,compsvu16,book,balloon,0.0,0.026043172835931785,0.02999925995487595
111,compsvu16,table,balloon,0.0,0.026153487431902534,0.030052732510471476
112,compsvu17,box,table,0.0,0.03410099825973821,0.03676538578541913
113,compsvu17,box (1),table,0.0,0.031118634219238692,0.03524502892573591
114,compsvu23,box,book,0.0,0.02816525504980054,0.0318626775079081
115,compsvu23,pear,book,0.0,0.027881004303565042,0.03146991691181423
116,compsvu25,book (1),book,0.6666666666666666,0.07068089693832924,0.07389407593253487
117,compsvu25,cube,book,0.0,0.03902730595639605,0.04094165888911422
118,compsvu25,table,book,0.0,0.029385116962761273,0.033102541816145414
119,compsvu25a,box,balloon,0.0,0.018200878663861723,0.02257176974672327
120,compsvu25a,table,balloon,0.0,0.027116902710302596,0.03089750457589602
121,compsvu34,picture,book (1),0.0,0.034456878453519336,0.03818824801266117
122,compsvu34,table,book (1),0.0,0.027431599363432178,0.031003457883155332
123,compsvu53,box,book,0.0,0.02550543820990158,0.02925734814429268
124,compsvu53,table,book,0.0,0.029925946496645327,0.03355862541911984
125,compsvu56,box,balloon,0.0,0.023734049017024316,0.027967580992269946
126,compsvu56,table,balloon,0.0,0.02397846079118206,0.02790528650067141
127,compsvu63,box,book,0.0,0.026779698897278017,0.030628589841210023
128,compsvu63,table,book,0.0,0.029965405716824118,0.033589939366673725
129,compsvu67,box,balloon,0.0,0.02475417759266169,0.02909074743256619
130,compsvu67,table,balloon,0.0,0.02099677160959982,0.025179241084354327
131,compsvu67a,box,balloon,0.0,0.009809089027944723,0.013943842110660682
132,compsvu67a,table,balloon,0.0,0.0247724010525756,0.02862593406048172
133,compsvul,pencil,lamp,1.0,0.27275425200523007,0.23178707452709857
134,compsvul,bowl,lamp,0.0,0.03859467630183979,0.04180677597607988
135,compsvula,pencil,lamp,1.0,0.2741374138125075,0.23301928340809883
136,compsvula,bowl,lamp,0.0,0.030750428355827992,0.03540858284335
137,compsvinew2,mug,shelf,1.0,0.3453877444071955,0.3237413376598149
138,compsvinew2,box,shelf,0.0,0.03882034387663318,0.04105020665977884
