,Scene,Figure,Ground,selection_ratio,Refined Distinct Model,Distinct Prototype
0,compsva12,box,book,1.0,0.5051917557901222,0.4927552793904977
1,compsva12,pear,book,1.0,0.5643697402820325,0.5643697402820325
2,compsva13,balloon,book,0.0,0.07749710155175725,0.039575884071144055
3,compsva13,pear,book,1.0,0.5371915455382705,0.535140790698821
4,compsva14,book,box,1.0,0.5467438712647653,0.5494314627933445
5,compsva14,table,box,0.0,0.028638993909903165,0.033027519878471745
6,compsva15,balloon,book,0.0,0.08300021060910698,0.042183839197940484
7,compsva15,pear,book,0.8888888888888888,0.5389467393928774,0.5371591715930281
8,compsva23,balloon,book,0.0,0.08298899276691253,0.04217904959175089
9,compsva23,box,book,0.6666666666666666,0.5179802201254612,0.5062370151375707
10,compsva24,picture,bin,0.6666666666666666,0.43052427897064566,0.4111235751200096
11,compsva24,table,bin,0.0,0.03369129027427184,0.03793552090201508
12,compsva25,picture,bin,1.0,0.13497572817286208,0.0535875910564334
13,compsva25,table,bin,0.0,0.03194919557890014,0.036171409454661095
14,compsva34,balloon,bin,0.0,0.08332165418804788,0.04241067487297511
15,compsva34,table,bin,0.0,0.03344647519107862,0.03785951701007757
16,compsvi12,pencil,cup,0.0,0.2846189355770889,0.3367715071822818
17,compsvi12,pencil,table,0.4,0.562538538007908,0.564960002270835
18,compsvi12,cup,table,1.0,0.5867882929770124,0.5932886788849537
19,compsvi12,cube,cup,0.4,0.25573113366866007,0.23286747905662486
20,compsvi12,cube,table,1.0,0.5858658259823712,0.5919597581616772
21,compsvi13,pencil (1),mug,0.3333333333333333,0.05938470711422339,0.18175425151981436
22,compsvi13,pencil,mug,0.6,0.07491038041519016,0.07640244555054106
23,compsvi14,ball,bowl,0.125,0.26512879988824783,0.22947014105250682
24,compsvi14,pencil,bowl,0.875,0.4461127718032532,0.4596813304109331
25,compsvi14a,cube,bowl,0.42857142857142855,0.4567528876810869,0.32449368895251907
26,compsvi14a,pear,bowl,0.5714285714285714,0.5422684006333178,0.54745034579907
27,compsvi15,pencil,box,0.0,0.21347143791878337,0.17839736362895053
28,compsvi15,pear,box,0.0,0.13661536911377198,0.12626337315173078
