,above-canon,above-near1,above-near2,above-far1
ground_lightsource,,,,
ground_container,,,,
support,1.677468255328028,1.1395673531140684,0.5235105427082122,-0.06416427530362684
ground_verticality,,,,
shortest_distance,-0.5758118204012588,-0.4975581924613212,-0.20095841799122227,0.14807670098714787
contact_proportion,0.4763016367217745,-0.4495031203312162,0.46128736555910743,1.970585728173562
above_proportion,1.0825675939776063,-0.9059561524155018,1.186440070615413,-0.9059561524155018
below_proportion,-0.7484621051199397,-0.6943065166862483,-0.74846210511994,-0.12193789354923595
bbox_overlap_proportion,0.07720436711319073,1.8356447463774237,-0.26137094815820955,1.4649205391011897
horizontal_distance,-0.8302482438384005,-0.7842121152204825,0.19895142456509748,0.5003161590162821
f_covers_g,-0.2624041994956915,-0.3957836426511719,-0.2885478337064159,-0.5906133380558347
g_covers_f,1.195476312302083,0.22468968260462174,0.7185430432705288,0.4762432078880404
location_control,1.1176441752616972,0.8905519156985907,0.4251548387580772,-0.006221392071739856
