,on top of-canon,on top of-near1,on top of-near2,on top of-far1
ground_lightsource,,,,
ground_container,,,,
support,1.5670333533999279,1.1966129658095779,0.8245004957627955,0.498573687050108
ground_verticality,,,,
shortest_distance,-0.6025731726099386,-0.3580337785159488,-0.6025657523779416,-0.31981458565239523
contact_proportion,2.3871051856610626,0.1602949834860307,2.528374120792221,0.2183577045786554
above_proportion,1.2542982212227518,1.1751617827543406,-0.4649345068491206,-0.9059561524155019
below_proportion,-0.7484621051199398,-0.7484621051199402,-0.7484621051199398,-0.6778356179051522
bbox_overlap_proportion,-0.17202891194479145,-0.256476000030818,2.4233403943518064,1.5759153485718138
horizontal_distance,-0.26987789300161363,-0.1642344821845228,-0.7436289472633386,-0.38837477752981103
f_covers_g,-0.6410067194711347,-0.1235912315095801,-0.42301755386053913,-0.5528810064309211
g_covers_f,1.499464859441653,0.7362682708408926,1.0015378407644502,0.07889084568675428
location_control,0.9585758503285903,0.9156198319538094,1.0182152843671228,0.7234160336196102
