,under-canon,under-near1,under-near2,under-far1
ground_lightsource,,,,
ground_container,,,,
support,-0.6274330686697578,-0.1005428750161787,-0.6282480394372743,-0.49901564345580235
ground_verticality,,,,
shortest_distance,0.6464938023285673,-0.5106883931964257,0.9090690116003063,-0.42760632485894684
contact_proportion,-0.4495031203312162,-0.10393101032580294,-0.4402237597304006,0.21412209009560362
above_proportion,-0.9059561524155018,-0.905956152415502,-0.9059561524155021,-0.9059561524155021
below_proportion,1.6343840719040237,-0.6702939191538759,1.4964351679302497,-0.4843502108743999
bbox_overlap_proportion,-0.3570435486078057,4.5115518198120785,-0.3544534070707669,1.2054769053873329
horizontal_distance,-0.9144830326470749,0.01654608313812579,0.7527662253165321,0.17543833948008403
f_covers_g,0.2532155678620784,-0.6091027559065224,0.7814477186294493,-0.5290825203921595
g_covers_f,1.5240177774945138,1.5226276855966552,-0.3870349356408742,-0.029072080098745907
location_control,-0.8052554546961859,0.09083802356674936,-0.7849589329515981,0.07374495221637185
