,inside-canon,inside-far1
ground_lightsource,,
ground_container,,
support,1.174119163865671,1.1321247417253228
ground_verticality,,
shortest_distance,-0.5949826834823346,-0.5493228586351498
contact_proportion,2.179453902015746,1.0385363798224305
above_proportion,-0.9059561524155018,0.02836752873462802
below_proportion,-0.7484621051199398,-0.7286673015297046
bbox_overlap_proportion,4.37515989119147,1.8742576414278003
horizontal_distance,-0.24037607475458056,-0.751382373317901
f_covers_g,-0.48527112581302256,0.06700182129017948
g_covers_f,1.4504815161864246,0.8524216071195791
location_control,1.6176810968675936,1.2501518117319386
