Scene,Figure,Ground,horizontal_distance_normalized,ground_lightsource,ground_container,support,location_control_x,location_control_z,ground_verticality,figure_volume,ground_volume,size_ratio,shortest_distance,shortest_distance_normalized,contact_proportion,above_proportion,below_proportion,bbox_overlap_proportion,horizontal_projection_overlap_proportion,location_control_-x,location_control_-z,horizontal_distance,f_covers_g,g_covers_f
compsva12,box,box,0,0,1,0,1,1,0,0.06531345,0.06531345,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva12,box,book,0.009444279,0,0,0.9858432,0.4690954,0.2867846,0,0.06531345,0.005775128,11.30944,0.01070059,0.000764328,0,0.9808219,0,0.002342819,0.7506321,0.7638308,0.7981204,0.1322199,0.8260055,0.4822287
compsva12,box,table,0.0433397,0,0,1,0.6372208,1,0,0.06531345,1.485625,0.04396363,0.04787213,0.003419408,0,1,0,0,0.1042624,0.6514454,1,0.6067558,0.105682,1
compsva12,box,pear,0.02194022,0,0,0.009325785,0.05712514,0.09335882,0,0.06531345,0.004186993,15.59913,0.02318081,0.001655772,0,0.7452055,0,0.0248659,0.5188071,0.1155937,0.01027553,0.307163,0.5276903,0.0819299
compsva12,book,box,0.009444279,0,1,0,0.02437727,0.006574294,0,0.005775128,0.06531345,0.08842172,0,0,0.2220654,0,0.8974359,0.02649597,0.4582549,0.01214538,0.03980583,0.1322199,0.4822287,0.8260055
compsva12,book,book,0,0,0,0,1,1,0,0.005775128,0.005775128,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva12,book,table,0.03496916,0,0,1,0.6398104,1,0,0.005775128,1.485625,0.003887339,0,0,0.4095507,0.9317808,0,0.02792403,0.06081376,0.6303544,1,0.4895682,0.06253165,1
compsva12,book,pear,0.01344257,0,0,0,0.00408097,0.01327812,0,0.005775128,0.004186993,1.379302,0,0,0.01270289,0,0.4321336,0.184188,0.9078476,0.0006563082,0.003779302,0.188196,0.9181388,0.2441752
compsva12,table,box,0.0433397,0,1,0,0.000270665,0.0003550673,0,1.485625,0.06531345,22.74607,0.06985395,0.004989568,0,0,1,0,1,0.000136583,1.74224E-05,0.6067558,1,0.1070848
compsva12,table,book,0.03496916,0,0,0,0.000570441,0.0004947761,0,1.485625,0.005775128,257.2453,0.05316863,0.003797755,0,0,0.8066038,0.0001085502,0.9858752,0.0003990866,0.0006242893,0.4895682,1,0.06253165
compsva12,table,table,0,0,0,0,1,1,0,1.485625,1.485625,1,0,0,1,0,0,1,1,1,1,0,1,1
compsva12,table,pear,0.02154949,0,0,0,0.0001135216,2.310242E-05,0,1.485625,0.004186993,354.819,0.1080506,0.007717897,0,0,1,0,1,0.0006260835,2.636722E-05,0.3016928,1,0.01662913
compsva12,pear,box,0.02194022,0,1,0,0.4889064,0.1394915,0,0.004186993,0.06531345,0.06410613,0.00533183,0.000380845,0.02150538,0,0,0.3878864,0.08274084,0.1440854,1,0.307163,0.0819299,0.5276903
compsva12,pear,book,0.01344257,0,0,1,0.06114928,0.031648,0,0.004186993,0.005775128,0.7250043,0,0,0.4193548,0.9689367,0,0.2540509,0.2173146,0.08239431,0.02023366,0.188196,0.2441752,0.9181388
compsva12,pear,table,0.02154949,0,0,1,0.6003783,0.2744103,0,0.004186993,1.485625,0.002818338,0.04814142,0.003438643,0,1,0,0,0.01652594,0.5396794,1,0.3016928,0.01657826,1
compsva12,pear,pear,0,0,0,0,1,1,0,0.004186993,0.004186993,1,0,0,1,0,0,1,1,1,1,0,1,1
