Location Control Calculations: z dimension
Scene, Figure,Ground, Movement,ground Movement,Normalized Movement,Horizontal Movement,Horizontal Ground Movement,Force used, LocCont
compsvu25,book (1),book (1),0.0733522,0.0733522,1,-0.0707838,-0.0707838,0:0:1,1
compsvu25,cube,book (1),0.0171585,0.0733522,0.233919,0.00741804,-0.0707838,0:0:1,0.104799
compsvu25,book,book (1),0.0163146,0.0733522,0.222415,0.00584644,-0.0707838,0:0:1,0.0825958
compsvu25,table,book (1),1.55333E-05,0.0733522,0.000211763,-1.0252E-05,-0.0707838,0:0:1,0.000144835
compsvu25,book (1),cube,0.00524799,0.00799345,0.656536,0.001459,0.00362861,0:0:1,0.402083
compsvu25,cube,cube,0.00799345,0.00799345,1,0.00362861,0.00362861,0:0:1,1
compsvu25,book,cube,0.00803178,0.00799345,1.0048,0.00147432,0.00362861,0:0:1,0.406304
compsvu25,table,cube,1.32596E-05,0.00799345,0.00165881,-7.86781E-06,0.00362861,0:0:1,0.00216827
compsvu25,book (1),book,0.011955,0.0349031,0.34252,0.00560868,-0.00832707,0:0:1,0.673548
compsvu25,cube,book,0.0256012,0.0349031,0.733492,0.0114924,-0.00832707,0:0:1,1
compsvu25,book,book,0.0349031,0.0349031,1,-0.00832707,-0.00832707,0:0:1,1
compsvu25,table,book,1.30882E-05,0.0349031,0.000374987,-8.34465E-06,-0.00832707,0:0:1,0.00100211
compsvu25,book (1),table,0.0222559,0.00183481,12.1299,-0.016812,-0.001791,0:0:1,1
compsvu25,cube,table,0.0344316,0.00183481,18.7658,0.0182889,-0.001791,0:0:1,1
compsvu25,book,table,0.0318458,0.00183481,17.3565,-0.00253046,-0.001791,0:0:1,1
compsvu25,table,table,0.00183481,0.00183481,1,-0.001791,-0.001791,0:0:1,1
compsvu25,book (1),book (1),0.0242507,0.0242507,1,0.0237827,0.0237827,0:0:-1,1
compsvu25,cube,book (1),0.00976748,0.0242507,0.402772,0.00690049,0.0237827,0:0:-1,0.290148
compsvu25,book,book (1),0.00852309,0.0242507,0.351458,0.00639242,0.0237827,0:0:-1,0.268785
compsvu25,table,book (1),1.36129E-05,0.0242507,0.000561342,-5.36442E-06,0.0237827,0:0:-1,0.00022556
compsvu25,book (1),cube,0.0149463,0.0692483,0.215837,0.00325161,0.0608357,0:0:-1,0.0534491
compsvu25,cube,cube,0.0692483,0.0692483,1,0.0608357,0.0608357,0:0:-1,1
compsvu25,book,cube,0.033622,0.0692483,0.485529,0.00329238,0.0608357,0:0:-1,0.0541192
compsvu25,table,cube,1.5695E-05,0.0692483,0.000226648,-1.21594E-05,0.0608357,0:0:-1,0.000199872
compsvu25,book (1),book,0.0141308,0.0423648,0.333551,0.00500077,0.0379451,0:0:-1,0.13179
compsvu25,cube,book,0.0346834,0.0423648,0.818685,0.023245,0.0379451,0:0:-1,0.612595
compsvu25,book,book,0.0423648,0.0423648,1,0.0379451,0.0379451,0:0:-1,1
compsvu25,table,book,1.42343E-05,0.0423648,0.000335993,-9.89437E-06,0.0379451,0:0:-1,0.000260755
compsvu25,book (1),table,0.0111359,0.00122459,9.09364,0.000754416,0.00118017,0:0:-1,0.639242
compsvu25,cube,table,0.0391736,0.00122459,31.9892,0.0248333,0.00118017,0:0:-1,1
compsvu25,book,table,0.026558,0.00122459,21.6873,0.0148808,0.00118017,0:0:-1,1
compsvu25,table,table,0.00122459,0.00122459,1,0.00118017,0.00118017,0:0:-1,1
compsva12,box,box,0.0214972,0.0214972,1,-0.0214872,-0.0214872,0:0:1,1
compsva12,book,box,0.000218989,0.0214972,0.0101868,0.000141263,-0.0214872,0:0:1,0.00657429
compsva12,table,box,1.10996E-05,0.0214972,0.000516329,-7.6294E-06,-0.0214872,0:0:1,0.000355067
compsva12,pear,box,0.00329686,0.0214972,0.153362,0.00299728,-0.0214872,0:0:1,0.139492
compsva12,box,book,0.00408614,0.0135116,0.302416,-0.00386941,-0.0134924,0:0:1,0.286785
compsva12,book,book,0.0135116,0.0135116,1,-0.0134924,-0.0134924,0:0:1,1
compsva12,table,book,1.03187E-05,0.0135116,0.000763691,-6.67572E-06,-0.0134924,0:0:1,0.000494776
compsva12,pear,book,0.000603937,0.0135116,0.0446976,0.000427008,-0.0134924,0:0:1,0.031648
compsva12,box,table,0.0474282,0.00174579,27.1672,-0.0470794,-0.00170314,0:0:1,1
compsva12,book,table,0.00550094,0.00174579,3.15097,-0.00523877,-0.00170314,0:0:1,1
compsva12,table,table,0.00174579,0.00174579,1,-0.00170314,-0.00170314,0:0:1,1
compsva12,pear,table,0.0407697,0.00174579,23.3532,0.00046736,-0.00170314,0:0:1,0.27441
compsva12,box,pear,0.00303471,0.0314677,0.0964391,0.00289041,-0.0309602,0:0:1,0.0933588
compsva12,book,pear,0.000918246,0.0314677,0.0291806,0.000411093,-0.0309602,0:0:1,0.0132781
compsva12,table,pear,8.55447E-06,0.0314677,0.00027185,7.15256E-07,-0.0309602,0:0:1,2.31024E-05
compsva12,pear,pear,0.0314677,0.0314677,1,-0.0309602,-0.0309602,0:0:1,1
compsva12,box,box,0.0273695,0.0273695,1,0.0273692,0.0273692,0:0:-1,1
compsva12,book,box,0.0013938,0.0273695,0.0509252,0.00108945,0.0273692,0:0:-1,0.0398058
compsva12,table,box,8.38035E-06,0.0273695,0.000306193,-4.76837E-07,0.0273692,0:0:-1,1.74224E-05
compsva12,pear,box,0.078835,0.0273695,2.8804,0.0522929,0.0273692,0:0:-1,1
compsva12,box,book,0.00894785,0.0108989,0.820985,0.00853455,0.0106933,0:0:-1,0.79812
compsva12,book,book,0.0108989,0.0108989,1,0.0106933,0.0106933,0:0:-1,1
compsva12,table,book,9.89311E-06,0.0108989,0.000907715,-6.67572E-06,0.0106933,0:0:-1,0.000624289
compsva12,pear,book,0.00179009,0.0108989,0.164245,0.000216365,0.0106933,0:0:-1,0.0202337
compsva12,box,table,0.00369439,0.00126692,2.91605,0.00270623,0.00122106,0:0:-1,1
compsva12,book,table,0.00779951,0.00126692,6.1563,-0.00779176,0.00122106,0:0:-1,1
compsva12,table,table,0.00126692,0.00126692,1,0.00122106,0.00122106,0:0:-1,1
compsva12,pear,table,0.0241087,0.00126692,19.0294,0.0194008,0.00122106,0:0:-1,1
compsva12,box,pear,0.000643946,0.0584884,0.0110098,-0.000557482,0.0542534,0:0:-1,0.0102755
compsva12,book,pear,0.000242561,0.0584884,0.00414716,-0.00020504,0.0542534,0:0:-1,0.0037793
compsva12,table,pear,9.67691E-06,0.0584884,0.00016545,1.43051E-06,0.0542534,0:0:-1,2.63672E-05
compsva12,pear,pear,0.0584884,0.0584884,1,0.0542534,0.0542534,0:0:-1,1
compsva13,book,book,0.0272008,0.0272008,1,-0.0271798,-0.0271798,0:0:1,1
compsva13,table,book,1.21561E-05,0.0272008,0.000446903,-5.96046E-06,-0.0271798,0:0:1,0.000219297
compsva13,pear,book,0.0187787,0.0272008,0.690372,0.0130688,-0.0271798,0:0:1,0.480827
compsva13,balloon,book,0,0.0272008,0,0,-0.0271798,0:0:1,0
compsva13,book,table,0.0153033,0.00173347,8.82814,-0.0152662,-0.00171626,0:0:1,1
compsva13,table,table,0.00173347,0.00173347,1,-0.00171626,-0.00171626,0:0:1,1
compsva13,pear,table,0.0888599,0.00173347,51.2614,0.0267606,-0.00171626,0:0:1,1
compsva13,balloon,table,0,0.00173347,0,0,-0.00171626,0:0:1,0
compsva13,book,pear,0.000291557,0.293133,0.000994622,0.00028652,-0.236522,0:0:1,0.00121139
compsva13,table,pear,1.10892E-05,0.293133,3.78299E-05,-3.21865E-06,-0.236522,0:0:1,1.36083E-05
compsva13,pear,pear,0.293133,0.293133,1,-0.236522,-0.236522,0:0:1,1
compsva13,balloon,pear,0,0.293133,0,0,-0.236522,0:0:1,0
compsva13,book,balloon,0.000473983,1.1,0.000430894,0.000225246,-1.1,0:0:1,0.000204769
compsva13,table,balloon,1.0976E-05,1.1,9.9782E-06,-3.8147E-06,-1.1,0:0:1,3.46791E-06
compsva13,pear,balloon,0.00284412,1.1,0.00258557,0.00210857,-1.1,0:0:1,0.00191689
compsva13,balloon,balloon,1.1,1.1,1,-1.1,-1.1,0:0:1,1
compsva13,book,book,0.0277015,0.0277015,1,0.0276905,0.0276905,0:0:-1,1
compsva13,table,book,1.19556E-05,0.0277015,0.000431587,-5.48363E-06,0.0276905,0:0:-1,0.000198033
compsva13,pear,book,0.0528336,0.0277015,1.90725,-0.00796455,0.0276905,0:0:-1,0.287628
compsva13,balloon,book,0,0.0277015,0,0,0.0276905,0:0:-1,0
compsva13,book,table,0.0181864,0.00123156,14.767,-0.0181561,0.00119007,0:0:-1,1
compsva13,table,table,0.00123156,0.00123156,1,0.00119007,0.00119007,0:0:-1,1
compsva13,pear,table,0.180912,0.00123156,146.897,0.110134,0.00119007,0:0:-1,1
compsva13,balloon,table,0,0.00123156,0,0,0.00119007,0:0:-1,0
compsva13,book,pear,0.000389246,0.247431,0.00157315,2.40803E-05,0.231523,0:0:-1,0.000104008
compsva13,table,pear,1.20389E-05,0.247431,4.86555E-05,-6.07967E-06,0.231523,0:0:-1,2.62595E-05
compsva13,pear,pear,0.247431,0.247431,1,0.231523,0.231523,0:0:-1,1
compsva13,balloon,pear,0,0.247431,0,0,0.231523,0:0:-1,0
compsva13,book,balloon,0.000473983,1.1,0.000430894,0.000225246,1.1,0:0:-1,0.000204769
compsva13,table,balloon,1.0976E-05,1.1,9.97819E-06,-3.8147E-06,1.1,0:0:-1,3.46791E-06
compsva13,pear,balloon,0.00284412,1.1,0.00258557,0.00210857,1.1,0:0:-1,0.00191689
compsva13,balloon,balloon,1.1,1.1,1,1.1,1.1,0:0:-1,1
