Location Control Calculation: x dimension
Scene, Figure,Ground, Movement,ground Movement,Normalized Movement,Horizontal Movement,Horizontal Ground Movement,Force used, LocCont
compsvu25,book (1),book (1),0.0229591,0.0229591,1,-0.0226861,-0.0226861,1:0:0,1
compsvu25,cube,book (1),0.0178163,0.0229591,0.776004,-0.013208,-0.0226861,1:0:0,0.582208
compsvu25,book,book (1),0.0187795,0.0229591,0.817957,-0.0169146,-0.0226861,1:0:0,0.74559
compsvu25,table,book (1),1.29155E-05,0.0229591,0.000562546,-2.86102E-06,-0.0226861,1:0:0,0.000126113
compsvu25,book (1),cube,0.0166479,0.0988302,0.16845,-0.0108697,-0.0973535,1:0:0,0.111651
compsvu25,cube,cube,0.0988302,0.0988302,1,-0.0973535,-0.0973535,1:0:0,1
compsvu25,book,cube,0.0429045,0.0988302,0.434123,-0.0244504,-0.0973535,1:0:0,0.25115
compsvu25,table,cube,1.08757E-05,0.0988302,0.000110044,-5.70715E-06,-0.0973535,1:0:0,5.86229E-05
compsvu25,book (1),book,0.0171381,0.0464877,0.368659,-0.0111325,-0.0456631,1:0:0,0.243797
compsvu25,cube,book,0.0394743,0.0464877,0.849134,-0.0356737,-0.0456631,1:0:0,0.781238
compsvu25,book,book,0.0464877,0.0464877,1,-0.0456631,-0.0456631,1:0:0,1
compsvu25,table,book,1.40595E-05,0.0464877,0.000302436,-4.85778E-06,-0.0456631,1:0:0,0.000106383
compsvu25,book (1),table,0.0274367,0.03106,0.883348,-0.0254443,-0.0310599,1:0:0,0.8192
compsvu25,cube,table,0.0485331,0.03106,1.56256,-0.0469448,-0.0310599,1:0:0,1
compsvu25,book,table,0.0532972,0.03106,1.71595,-0.053137,-0.0310599,1:0:0,1
compsvu25,table,table,0.03106,0.03106,1,-0.0310599,-0.0310599,1:0:0,1
compsvu25,book (1),book (1),0.0832718,0.0832718,1,0.0785481,0.0785481,-1:0:0,1
compsvu25,cube,book (1),0.0113768,0.0832718,0.136622,-0.0101733,0.0785481,-1:0:0,0.129516
compsvu25,book,book (1),0.00972173,0.0832718,0.116747,-0.00679153,0.0785481,-1:0:0,0.0864634
compsvu25,table,book (1),1.46353E-05,0.0832718,0.000175753,-5.93066E-06,0.0785481,-1:0:0,7.55036E-05
compsvu25,book (1),cube,0.00867658,0.0149807,0.579184,-0.00781527,-0.0105079,-1:0:0,0.743752
compsvu25,cube,cube,0.0149807,0.0149807,1,-0.0105079,-0.0105079,-1:0:0,1
compsvu25,book,cube,0.010931,0.0149807,0.729674,-0.0077996,-0.0105079,-1:0:0,0.74226
compsvu25,table,cube,1.61709E-05,0.0149807,0.00107945,-5.69224E-06,-0.0105079,-1:0:0,0.000541711
compsvu25,book (1),book,0.00193101,0.00396889,0.486536,-0.00158274,0.00274649,-1:0:0,0.576277
compsvu25,cube,book,0.00530254,0.00396889,1.33603,0.00174533,0.00274649,-1:0:0,0.635475
compsvu25,book,book,0.00396889,0.00396889,1,0.00274649,0.00274649,-1:0:0,1
compsvu25,table,book,1.36924E-05,0.00396889,0.00344992,-4.91738E-06,0.00274649,-1:0:0,0.00179042
compsvu25,book (1),table,0.0162109,0.0306947,0.528134,0.0149708,0.0306836,-1:0:0,0.48791
compsvu25,cube,table,0.0100453,0.0306947,0.327266,0.00438011,0.0306836,-1:0:0,0.142751
compsvu25,book,table,0.0132371,0.0306947,0.43125,0.00586084,0.0306836,-1:0:0,0.191009
compsvu25,table,table,0.0306947,0.0306947,1,0.0306836,0.0306836,-1:0:0,1
compsva12,box,box,0.0224304,0.0224304,1,-0.0222418,-0.0222418,1:0:0,1
compsva12,book,box,0.00133453,0.0224304,0.0594963,-0.000542194,-0.0222418,1:0:0,0.0243773
compsva12,table,box,1.05035E-05,0.0224304,0.000468269,-6.02007E-06,-0.0222418,1:0:0,0.000270665
compsva12,pear,box,0.102457,0.0224304,4.56777,0.0108741,-0.0222418,1:0:0,0.488906
compsva12,box,book,0.00496755,0.01057,0.469968,-0.00492603,-0.0105011,1:0:0,0.469095
compsva12,book,book,0.01057,0.01057,1,-0.0105011,-0.0105011,1:0:0,1
compsva12,table,book,1.06957E-05,0.01057,0.0010119,-5.99027E-06,-0.0105011,1:0:0,0.000570441
compsva12,pear,book,0.000672652,0.01057,0.0636379,0.000642136,-0.0105011,1:0:0,0.0611493
compsva12,box,table,0.0200002,0.0313092,0.638796,-0.0199508,-0.0313091,1:0:0,0.637221
compsva12,book,table,0.0200713,0.0313092,0.641069,-0.0200319,-0.0313091,1:0:0,0.63981
compsva12,table,table,0.0313092,0.0313092,1,-0.0313091,-0.0313091,1:0:0,1
compsva12,pear,table,0.0190285,0.0313092,0.607761,-0.0187973,-0.0313091,1:0:0,0.600378
compsva12,box,pear,0.00283044,0.0661184,0.0428087,0.00161216,-0.0282215,1:0:0,0.0571251
compsva12,book,pear,0.0014124,0.0661184,0.0213616,0.000115171,-0.0282215,1:0:0,0.00408097
compsva12,table,pear,8.82814E-06,0.0661184,0.00013352,-3.20375E-06,-0.0282215,1:0:0,0.000113522
compsva12,pear,pear,0.0661184,0.0661184,1,-0.0282215,-0.0282215,1:0:0,1
compsva12,box,box,0.0293467,0.0293467,1,0.0283659,0.0283659,-1:0:0,1
compsva12,book,box,0.00103346,0.0293467,0.0352153,0.000344515,0.0283659,-1:0:0,0.0121454
compsva12,table,box,2.02881E-05,0.0293467,0.000691324,-3.8743E-06,0.0283659,-1:0:0,0.000136583
compsva12,pear,box,0.00469154,0.0293467,0.159866,0.00408711,0.0283659,-1:0:0,0.144085
compsva12,box,book,0.0127095,0.0157575,0.80657,0.0120069,0.0157194,-1:0:0,0.763831
compsva12,book,book,0.0157575,0.0157575,1,0.0157194,0.0157194,-1:0:0,1
compsva12,table,book,9.8081E-06,0.0157575,0.000622442,-6.27339E-06,0.0157194,-1:0:0,0.000399087
compsva12,pear,book,0.00184374,0.0157575,0.117007,0.00129519,0.0157194,-1:0:0,0.0823943
compsva12,box,table,0.0197852,0.0303094,0.652774,0.0197382,0.030299,-1:0:0,0.651445
compsva12,book,table,0.0193634,0.0303094,0.638856,0.0190991,0.030299,-1:0:0,0.630354
compsva12,table,table,0.0303094,0.0303094,1,0.030299,0.030299,-1:0:0,1
compsva12,pear,table,0.0165063,0.0303094,0.544591,0.0163518,0.030299,-1:0:0,0.539679
compsva12,box,pear,0.00133327,0.021865,0.0609776,0.00119677,0.0103533,-1:0:0,0.115594
compsva12,book,pear,0.000642133,0.021865,0.0293681,-6.79493E-06,0.0103533,-1:0:0,0.000656308
compsva12,table,pear,8.49791E-06,0.021865,0.000388654,-6.48201E-06,0.0103533,-1:0:0,0.000626084
compsva12,pear,pear,0.021865,0.021865,1,0.0103533,0.0103533,-1:0:0,1
compsva13,book,book,0.0284225,0.0284225,1,-0.0283939,-0.0283939,1:0:0,1
compsva13,table,book,1.25347E-05,0.0284225,0.000441015,-5.21541E-06,-0.0283939,1:0:0,0.00018368
compsva13,pear,book,0.0212666,0.0284225,0.748232,0.0012764,-0.0283939,1:0:0,0.0449534
compsva13,balloon,book,0,0.0284225,0,0,-0.0283939,1:0:0,0
compsva13,book,table,0.019594,0.0321289,0.609858,-0.0195476,-0.0321288,1:0:0,0.608413
compsva13,table,table,0.0321289,0.0321289,1,-0.0321288,-0.0321288,1:0:0,1
compsva13,pear,table,0.300139,0.0321289,9.34172,-0.230589,-0.0321288,1:0:0,1
compsva13,balloon,table,0,0.0321289,0,0,-0.0321288,1:0:0,0
compsva13,book,pear,0.000923743,0.169368,0.00545405,-0.00015448,-0.151651,1:0:0,0.00101866
compsva13,table,pear,1.13579E-05,0.169368,6.70602E-05,-4.57466E-06,-0.151651,1:0:0,3.01656E-05
compsva13,pear,pear,0.169368,0.169368,1,-0.151651,-0.151651,1:0:0,1
