Object,CN_ISA_CONTAINER,CN_UsedFor_Light
wall,0,0
floor,0,0
ceiling,0,0
box,1,0
table,0,0
shelf,0,0
cube,0,0
ball,0,0
bowl,1,0
pear,0,0
pencil,0,0
mug,1,0
spoon,1,0
plate,0,0
clock,0,0
board,0,0
bin,1,0
picture,0,0
pan,1,0
lid,0,0
cabinet,0,0
sink,0,0
tap,0,0
lamp,0,1
notepad,0,0
