Support Calculations
Scene, Figure,Ground, Movement,Normalized Movement,Support
sv_modtypu1,lamp,lamp,0,0,0
sv_modtypu1,notepad,lamp,0.00011307,0.00147459,0.00147459
sv_modtypu1,table,lamp,7.6294E-05,9.34326E-05,9.34326E-05
sv_modtypu1,notepad,notepad,0,0,0
sv_modtypu1,lamp,notepad,-0.0678047,-0.197145,0
sv_modtypu1,table,notepad,7.6294E-05,0.00317717,0.00317717
sv_modtypu1,notepad,table,0.819067,1,1
sv_modtypu1,lamp,table,0.799147,1.07646,1
sv_modtypu1,table,table,0,0,0
sv_modtypa1,box,box,0,0,0
sv_modtypa1,table,box,7.9155E-05,0.000128951,0.000128951
sv_modtypa1,box,table,0.00188198,0.00229769,0.00229769
sv_modtypa1,table,table,0,0,0
sv_modtypa2,box,box,0,0,0
sv_modtypa2,table,box,6.81877E-05,0.000112536,0.000112536
sv_modtypa2,box,table,0.0176233,0.0215148,0.0215148
sv_modtypa2,table,table,0,0,0
sv_modtypi1,table,table,0,0,0
sv_modtypi1,shelf,table,0.819045,0.999973,0.999973
sv_modtypi1,cube,table,0.812628,0.99214,0.99214
sv_modtypi1,table,shelf,7.236E-05,8.69139E-05,8.69139E-05
sv_modtypi1,shelf,shelf,0,0,0
sv_modtypi1,cube,shelf,0.176727,0.99998,0.99998
sv_modtypi1,table,cube,7.21812E-05,0.000698273,0.000698273
sv_modtypi1,shelf,cube,-2.19345E-05,-0.000212192,0
sv_modtypi1,cube,cube,0,0,0
sv_modtypi2,ball (4),ball (4),0,0,0
sv_modtypi2,ball (1),ball (4),0.00378895,0.164959,0.164959
sv_modtypi2,ball (3),ball (4),0.00330389,0.103576,0.103576
sv_modtypi2,table,ball (4),6.4373E-05,0.000416379,0.000416379
sv_modtypi2,bowl,ball (4),-0.00409806,-0.13659,0
sv_modtypi2,ball (2),ball (4),-0.00259256,-0.0680337,0
sv_modtypi2,ball,ball (4),0.00666565,0.200531,0.200531
sv_modtypi2,pear,ball (4),0.127349,1.25425,1
sv_modtypi2,ball (4),ball (1),0.00161296,0.0296871,0.0296871
sv_modtypi2,ball (1),ball (1),0,0,0
sv_modtypi2,ball (3),ball (1),0.00018847,0.00123185,0.00123185
sv_modtypi2,table,ball (1),6.39558E-05,0.00041802,0.00041802
sv_modtypi2,bowl,ball (1),-0.0041315,-0.0270038,0
sv_modtypi2,ball (2),ball (1),-0.0010289,-0.0679676,0
sv_modtypi2,ball,ball (1),0.00186342,0.181425,0.181425
sv_modtypi2,pear,ball (1),0.0774461,0.985758,0.985758
sv_modtypi2,ball (4),ball (3),0.0138207,0.731719,0.731719
sv_modtypi2,ball (1),ball (3),-3.17097E-05,-0.000757571,0
sv_modtypi2,ball (3),ball (3),0,0,0
sv_modtypi2,table,ball (3),6.43134E-05,0.000633174,0.000633174
sv_modtypi2,bowl,ball (3),-0.00417888,-0.0854743,0
sv_modtypi2,ball (2),ball (3),0.0177677,0.672128,0.672128
sv_modtypi2,ball,ball (3),0.00328594,0.0630361,0.0630361
sv_modtypi2,pear,ball (3),0.0231745,0.228156,0.228156
sv_modtypi2,ball (4),table,0.818524,0.999334,0.999334
sv_modtypi2,ball (1),table,0.824252,1.00633,1
sv_modtypi2,ball (3),table,0.813037,0.992634,0.992634
sv_modtypi2,table,table,0,0,0
