,Our Prototype
in,0.7749502643430057
inside,0.8227916194904209
against,0.8389330425672732
on,0.9105016149595044
on top of,0.9678975649200872
under,0.7270923839702458
below,0.8590205586417774
over,0.7879098043522943
above,0.8373626438346864
Average,0.8362732774532553
Overall,0.8455640316150509
