,Our Prototype
in,0.8156138668461925
inside,0.8499446257713682
against,0.8685550459888121
on,0.9189827725010994
on top of,0.9723367425986257
under,0.7433152556905795
below,0.8657912746385874
over,0.7871440714851627
above,0.8435514926390586
Average,0.8516927942399429
Overall,0.8588162411513067
