,Our Prototype
in,0.8137467964840998
inside,0.8632319357055782
against,0.8767823298158361
on,0.8507350727588959
on top of,0.9284785758923084
under,0.7364105978063862
below,0.8623810580380377
over,0.7456953572827852
above,0.8623591638119348
Average,0.837757876399541
Overall,0.8392422729693315
