,on top of-canon,on top of-near1,on top of-near2,on top of-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.10387845051403007,0.18422988830981424,0.025015905826844063,0.026200629795643957
ground_verticality,0.0,0.0,0.0,0.0
shortest_distance,0.06825790624160391,0.0478733825174701,0.0018939136088222267,0.011033190900120352
contact_proportion,0.02251213362231,0.01737721550679413,0.014738485081172575,0.007354763095285734
above_proportion,0.06976240419365642,0.130325795275657,0.015279105243745273,0.023590113240670646
below_proportion,0.0433581046452102,0.03165096963231466,0.01235917759723955,0.019157657227087357
bbox_overlap_proportion,0.06510947551181004,0.0344381673881398,0.013050144826753688,0.004599488702145754
horizontal_distance,0.041774820946405194,0.03343601235051288,0.0014286374256361509,0.009980093735610557
f_covers_g,0.06608590546351795,0.012430813536871279,0.006137093189279636,0.0002498608964353899
g_covers_f,0.09540911131401436,0.018769265898432565,0.02003506602855315,0.0008025137221818928
location_control,0.03886074451780651,0.002249153629429304,0.01611372127788131,0.002615883872932598
