,above-canon,above-near1,above-near2,above-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.0338608184058663,0.016770412903931727,0.15794909355923842,0.0009905830612524733
ground_verticality,0.0,0.0,0.0,0.0
shortest_distance,0.03715086528522648,0.0008593761657610874,0.017594362021637514,0.0033268650747477874
contact_proportion,0.009830219355324726,0.0005063867510152371,0.008208039679220541,0.00642581526162598
above_proportion,0.10596885423604421,0.01825141085313091,0.3020364538740804,0.012532292055747074
below_proportion,0.022732190299364047,0.0016958415998807315,0.04816286704362941,0.011979259702498388
bbox_overlap_proportion,0.009709926996346334,0.0009364275199156787,0.022806046570898998,0.010028845388060675
horizontal_distance,0.03283546023342511,0.0021568759007309663,0.00807008350638394,0.006832604933825169
f_covers_g,0.009608375923239812,0.0015093567240055871,0.003206860545617644,3.770572064543198e-05
g_covers_f,0.032511151623352025,0.002329052229734025,0.009247660128969677,0.016915538678471807
location_control,0.005731694747048153,0.002521681439856814,0.034510164140377435,0.014864447729787436
