,in-canon,in-near1,in-near2,in-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.03793494060740151,0.009537695531078222,0.0039391044657606225,0.030165088070623562
ground_verticality,0.0,0.0,0.0,0.0
shortest_distance,0.018518499948859967,0.014613045042729237,0.005384429327712895,0.01801760581739503
contact_proportion,0.023630508177701622,0.011069528915137645,0.0011926908312939444,0.005184224208207569
above_proportion,0.017938722072582337,0.007831666694170718,0.007964782878898983,0.02209883961809859
below_proportion,0.0029273327313403845,0.006701188668230774,0.0018656312182260583,0.008104063369799049
bbox_overlap_proportion,0.014593022694669526,0.004589080568247492,0.006415516471588156,0.027192943784579465
horizontal_distance,0.0023248107800678984,0.008667343747592792,0.0007669365676538487,0.017357160989700963
f_covers_g,0.03360090566095867,0.013760774332353624,0.017205622246997936,0.016292894811010473
g_covers_f,0.008071453620795511,0.01867208482349834,0.011813315894766136,0.03418204140562131
location_control,0.03407980692240414,0.011549107095304408,0.009171784869109684,0.016592779192350325
