,inside-canon,inside-far1
ground_lightsource,0.0,0.0
ground_container,0.0,0.0
support,0.03371617324745205,0.03768419540988794
ground_verticality,0.0,0.0
shortest_distance,0.022469383864282863,0.021534154265145652
contact_proportion,0.014135484785459722,0.006780240532350642
above_proportion,0.014655290749924691,0.019803910511883634
below_proportion,0.007852193387288587,0.004735606464812831
bbox_overlap_proportion,0.029551987738519803,0.03401554796020231
horizontal_distance,0.0014571110055699946,0.01215737857015384
f_covers_g,0.03369212252365747,0.03278355614678376
g_covers_f,0.012748904533277308,0.034629685640812216
location_control,0.047071512100371866,0.02307431966964174
