,over-canon,over-near1,over-near2,over-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.04369897858144036,0.000262554485988126,0.0866073560863902,0.0005799195633477631
ground_verticality,0.0,0.0,0.0,0.0
shortest_distance,0.00019673089184713694,0.003195702553613753,0.023957555348421915,0.004020325329392515
contact_proportion,0.007340006967924202,0.00037544780455197593,0.0005810042967296127,0.007333991637328065
above_proportion,0.1148048530735257,0.0005998246309658061,0.1405714446999224,0.019731631721342662
below_proportion,0.029965738077275456,0.002557207419403424,0.021269643687135957,0.002391831705516066
bbox_overlap_proportion,0.04167534960463323,0.0002668761898453796,0.016696069315295093,0.009115010597941038
horizontal_distance,0.011975562796338933,0.0011725472011367747,0.017285079321884528,0.002247538560536356
f_covers_g,0.058696451818604826,0.0033461963868616235,0.005942330609221005,0.0004796450878466359
g_covers_f,0.08034438488375427,0.0004924665646927225,0.0020117638498966545,0.01745210158800747
location_control,0.014457711311944312,0.0011152487240359554,0.008322312026427168,0.0036117647039423163
