,Our Prototype
in,0.7814647010323913
inside,0.849448749183274
against,0.8642305097491821
on,0.8812254420218596
on top of,0.9528584517597555
under,0.7700102973020347
below,0.9064648634386049
over,0.7640234465730521
above,0.8701820760222049
Average,0.8488787263424845
Weighted Average,0.8594734242031086
