,None removed,location_control,support
in,0.8156138668461925,0.7749502643430057,0.8137467964840998
inside,0.8499446257713682,0.8227916194904209,0.8632319357055782
against,0.8685550459888121,0.8389330425672732,0.8767823298158361
on,0.9189827725010994,0.9105016149595044,0.8507350727588959
on top of,0.9723367425986257,0.9678975649200872,0.9284785758923084
under,0.7433152556905795,0.7270923839702458,0.7364105978063862
below,0.8657912746385874,0.8590205586417774,0.8623810580380377
over,0.7871440714851627,0.7879098043522943,0.7456953572827852
above,0.8435514926390586,0.8373626438346864,0.8623591638119348
Average,0.8516927942399429,0.8362732774532553,0.837757876399541
Overall,0.8588162411513067,0.8455640316150509,0.8392422729693315
