,location_control:Average,location_control:Overall,location_control:above,location_control:against,location_control:below,location_control:in,location_control:inside,location_control:on,location_control:on top of,location_control:over,location_control:under,support:Average,support:Overall,support:above,support:against,support:below,support:in,support:inside,support:on,support:on top of,support:over,support:under
p_value,2.2215241861973763e-28,3.086567678106783e-25,1.0000000000001237,0.009698472270169761,1.0000000000001248,0.11462329862986696,0.9999999104840677,1.0000000000001208,1.0000000000001248,1.0000000000001248,0.8555897514127289,1.6920079887578445e-18,1.7067452729726116e-24,1.0000000000001112,1.0000000000001248,1.0000000000001248,1.0000000000001248,1.0000000000001248,1.47417413997649e-48,1.1985779794763299e-15,0.0011397192509029494,0.9997502867569159
With feature wins,174.0,170.0,46.0,117.0,42.0,109.0,64.0,47.0,43.0,32.0,93.0,160.0,169.0,48.0,21.0,26.0,44.0,9.0,193.0,155.0,122.0,76.0
Without feature wins,26.0,23.0,32.0,33.0,24.0,17.0,27.0,21.0,33.0,37.0,31.0,40.0,25.0,109.0,59.0,13.0,40.0,48.0,2.0,5.0,44.0,55.0
