,Our Prototype
in,0.7501520802294577
inside,0.8237625110132005
against,0.8735986105019371
on,0.8487893271323773
on top of,0.8864033306524349
under,0.741283415389974
below,0.9064648634386049
over,0.7174036882732077
above,0.8701820760222049
Average,0.8242266558503778
Weighted Average,0.8341971096193614
