,Our Prototype
in,0.7501520802294577
inside,0.8237625110132005
against,0.8365054803775754
on,0.8812254420218596
on top of,0.9196052025208484
under,0.6778515069095284
below,0.9064648634386049
over,0.7766228721365833
above,0.8701820760222049
Average,0.8269302260744301
Weighted Average,0.8357645829077336
