,support,shortest_distance,contact_proportion,above_proportion,below_proportion,bbox_overlap_proportion,horizontal_distance,f_covers_g,g_covers_f,location_control
0,0.9858431999999999,0.010700589999999982,0.0,0.9808219000000001,0.0,0.002342818999999996,0.13221989999999995,0.8260055000000002,0.4822287,0.5794578
1,1.0,0.0,0.4193547999999999,0.9689367,0.0,0.2540509,0.18819600000000003,0.2441752,0.9181388,0.0488563125
3,1.0,0.0,0.06451613,0.9808841,0.0,0.009285691999999998,0.09080100999999996,0.07013765000000005,1.0,0.3096339775
4,1.0,0.003260791000000013,0.20489300000000002,0.9999999999999999,0.0,0.0,1.0132849999999998,0.5299718000000001,0.6790541999999999,0.7615330750000001
7,1.0,0.0,0.06451613,0.9808841,0.0,0.009285691999999998,0.09080100999999996,0.07013765000000005,1.0,0.31709858750000003
9,1.0,0.007616732999999959,0.008219178,0.9123288000000002,0.0,0.008299931999999996,0.15125329999999998,0.7771859999999999,0.4497143,0.8992009750000001
10,1.0,0.13370829999999997,0.0,0.9999999999999999,0.0,0.0,0.035059759999999995,1.0,0.5041572,0.23310465749999998
12,0.8659857,0.12622099999999997,0.0,0.8,0.0,0.05230446,0.026088710000000015,1.0,0.4973657,0.32794515999999996
18,0.9978783,0.006661831999999979,0.06767989,0.9999999999999999,0.0,0.0,0.029629179999999977,0.012907920000000017,1.0,0.634471475
20,0.9984947,0.007746040999999981,0.25,0.9999999999999999,0.0,0.0,0.08116654000000001,0.003902803999999982,1.0,0.84317495
24,1.0,0.0,0.15151520000000002,0.7424242,0.0,0.08685314,0.054592619999999925,0.6217138000000001,0.549188,0.7629459224999999
26,1.0,0.0008662348000000042,0.18040620000000002,0.9772998999999999,0.0,0.21391880000000002,0.04458439999999997,0.44412029999999997,0.7633495,0.86443635
34,1.0,0.00860186900000004,0.07575758,0.7424242,0.0,0.0043971970000000055,0.03262982999999997,0.7957380999999999,0.4098187,0.9999999999999999
45,0.9507378000000001,0.00911925899999999,0.030303029999999995,0.8030303000000001,0.0,0.003421003000000006,0.015968519999999986,0.6944034,0.6559014,0.9999999999999999
52,1.0,0.0,0.15151520000000002,0.7424242,0.0,0.12381569999999999,0.05459267000000001,0.6217139,0.5491881,0.9999999999999999
56,0.999124,1.969885999986154e-06,0.40249350000000006,0.9964714,0.0,0.00019873679999998783,0.3395757,0.07778896000000002,1.0,0.61587315
57,1.0,5.322781999994586e-05,0.21289110000000003,0.9750646999999999,0.0,0.004996794999999998,1.0056049999999999,0.03556893,0.5676455,0.8123704
58,1.0,0.0,0.07268878,0.9797695000000001,0.0,0.01075816999999999,0.09546196000000001,0.2527741,0.8773752,0.853057925
61,1.0,0.0,0.07268878,0.9797695000000001,0.0,0.01075816999999999,0.09546196000000001,0.2527741,0.8773752,0.833212675
62,1.0,0.04896002999999999,0.0,0.9999999999999999,0.0,0.0,0.5381349,0.07677879999999998,1.0,0.84032195
63,1.0,0.0,0.4090801999999999,0.9614208000000001,0.0,0.02219061,0.49722340000000004,0.06273932999999998,1.0,0.7350522749999999
64,0.9998908999999999,0.0,0.10344829999999999,0.9482759,0.0,0.00026883480000000626,0.618286,0.08029787999999999,1.0,0.7982566499999999
67,1.0,0.0,0.07268878,0.9797695000000001,0.0,0.01075816999999999,0.09546196000000001,0.2527741,0.8773752,0.8372892
69,1.0,0.0,0.40249350000000006,0.9868267,0.0,0.006139364999999994,0.3794822,0.07779766999999999,1.0,0.811329
71,1.0,0.0,0.40249350000000006,0.9868267,0.0,0.006139364999999994,0.3794822,0.07779766999999999,1.0,0.81354125
73,0.5971173000000001,0.0,0.40249350000000006,0.9698895,0.0,0.003933884999999998,0.3794513,0.07776746000000001,1.0,0.6777597500000001
75,1.0,0.0,0.40249350000000006,0.9611856,0.0,0.004835628999999994,0.3794667,0.07775979,1.0,0.8135081250000001
77,1.0,0.0,0.40249350000000006,0.9611856,0.0,0.004835628999999994,0.3794667,0.07775979,1.0,0.8118872
81,0.9939150999999998,0.0,0.2171254,0.9748294000000001,0.0,0.0033345919999999973,0.9788173000000001,0.03855664000000003,0.6155435,0.873122525
85,1.0,0.0,0.2540578999999999,0.9868267,0.0,0.003695606000000004,0.9854578000000003,0.04683049,0.6019524,0.751310725
87,1.0,0.0,0.21547870000000005,0.9717714,0.0,0.0022953049999999975,0.8861938,0.04484241,0.5766634,0.87307325
89,1.0,0.0,0.2008939,0.9567161000000001,0.0,0.010218740000000004,1.002475,0.04305530000000002,0.5428164000000001,0.7152425500000001
91,1.0,0.0,0.2008939,0.9567161000000001,0.0,0.010218740000000004,1.002475,0.04305530000000002,0.5428164000000001,0.7740933
133,0.3911495,0.0,0.45454550000000005,0.0,0.0,0.7203345,0.1251641,0.20989079999999996,0.7203345,0.536998675
