,cluster_0,cluster_1
support,0.7937174414691641,-0.6282480394372744
shortest_distance,-0.5931644732975754,0.31814452000982696
contact_proportion,0.9005615256179067,-0.4495031203312162
above_proportion,0.8556445623716383,0.969835616940105
below_proportion,-0.7388854822695945,-0.5836901093022872
bbox_overlap_proportion,0.27360971171351817,-0.2951818887642339
horizontal_distance,-0.07137636847320648,0.1735500662623035
f_covers_g,-0.4601757073856503,0.4231977808268473
g_covers_f,0.7814109175281103,0.1943837342351909
location_control,0.9439598992775682,-0.7026386543906578
