,cluster_0,cluster_1,cluster_2
support,1.6084367152680215,1.1520067478282134,0.6231534572185624
shortest_distance,-0.5599793015157489,-0.602573893987224,-0.5074499596847908
contact_proportion,0.8968720539656643,4.0918009500587225,0.07341863488406908
above_proportion,1.1614999942108388,-0.7748844419747263,-0.9059561524155018
below_proportion,-0.7484621051199398,-0.7484621051199398,-0.6563808739178754
bbox_overlap_proportion,-0.21728092176079583,3.3478730544812567,1.6341628133135433
horizontal_distance,-0.2516816843574031,-0.7234804052745314,-0.5784807979453889
f_covers_g,-0.261272457699977,-0.5520194744264108,-0.43618586594288394
g_covers_f,1.0336278097842346,1.0649434842037075,0.10698245430386477
location_control,1.1108571279335395,1.2926198919263225,0.6846106454605371
