,scene,figure,ground,Distinct Prototype,Shared Prototype,Baseline Model,KMeans Model
0,compsva12,box,book,0.08670332646659823,0.09309026889975676,0.4884439738362286,0.05051217497995922
1,compsva12,box,table,0.0870803572902818,0.09216202778917004,0.4626424498575379,0.05755111403952506
2,compsva12,box,pear,0.08417723923420517,0.11046442274339673,0.590741532477777,0.06890227691838664
3,compsva12,book,box,0.00698604705657033,0.009419234400849843,0.2882852668981548,0.005830600869597058
4,compsva12,book,table,0.08310139267563553,0.0895312065814106,0.4240395297764964,0.05477203125058435
5,compsva12,book,pear,0.007137796430837528,0.0158398767503357,0.2986120306508254,0.04816816673869401
6,compsva12,table,box,0.007456730781502601,0.015119021962791085,0.27672228098976936,0.04396097794456689
7,compsva12,table,book,0.007380426889655141,0.015372971551661587,0.2851465648250912,0.04599428661402842
8,compsva12,table,pear,0.0074684481333679425,0.015106283253391454,0.2753637007480118,0.04385923260101195
9,compsva12,pear,box,0.006644560150117281,0.009239698029188356,0.2944890860322779,0.007393194374736387
10,compsva12,pear,book,0.08253919815566461,0.08917625046810111,0.4394889401353641,0.05055236412150165
11,compsva12,pear,table,0.08792843060237507,0.0929371568777332,0.4679863211072035,0.05766086933031715
12,compsva13,balloon,book,0.09971846217788344,0.12657737438678954,0.6295791552738257,0.3331290573550315
13,compsva13,balloon,table,0.10387376457481702,0.1310317906518053,0.6740608429990237,0.36556443100707503
14,compsva13,balloon,pear,0.10047717120507346,0.12833908077298514,0.6332013605221606,0.3353792395021407
15,compsva13,book,balloon,0.005789168363109496,0.00915893806855168,0.27243191954144697,0.03761310901592912
16,compsva13,book,table,0.08574979038067494,0.0911666787573601,0.4318458957065631,0.05492523633263973
17,compsva13,book,pear,0.007473901230224711,0.015090689351238541,0.27733468318352233,0.04411054026438996
18,compsva13,table,balloon,0.0073827650955691545,0.01501021750372745,0.2755614299610996,0.04349665085318848
19,compsva13,table,book,0.007380274194137211,0.015373486740637175,0.2851532797749673,0.045995238739255234
20,compsva13,table,pear,0.007460057076628631,0.015117998525055378,0.2752375500744883,0.04387950520307826
21,compsva13,pear,balloon,0.005791050826459089,0.00916467488788951,0.2726448777855191,0.03765366527702895
22,compsva13,pear,book,0.08678792552377955,0.09228942756455984,0.4771403678906293,0.05891210721258838
23,compsva13,pear,table,0.08923341440608981,0.09497678443345006,0.4639309603381189,0.054418536179556956
24,compsva14,box,book,0.006178626176585545,0.009578051226242324,0.2859738305757844,0.042880917633477206
25,compsva14,box,table,0.00700129845884229,0.007563813726378653,0.23606485353184495,0.00630601323755332
26,compsva14,book,box,0.08584966406072682,0.09181979755439086,0.479484394093612,0.05912887142231398
27,compsva14,book,table,0.007067202959493619,0.007578579660588849,0.2355841973888596,0.006318737583735417
28,compsva14,table,box,0.3160426212331457,0.2077876989264011,0.5654007743484535,0.07479429002417294
29,compsva14,table,book,0.31911141000361737,0.21181324283973746,0.5599453274652649,0.07643160517767184
30,compsva15,balloon,book,0.10312095123684938,0.1329458032088745,0.7299558854372162,0.36336798286434724
31,compsva15,balloon,table,0.1037107796225152,0.13212661843040385,0.6745906320025241,0.3664521780372775
32,compsva15,balloon,pear,0.10173074840797022,0.1307205724013988,0.6395921827107348,0.33865414788739456
33,compsva15,book,balloon,0.006125377222986796,0.009556654913267659,0.28431511671293397,0.04015628812504161
34,compsva15,book,table,0.0857496383850966,0.09116648015177256,0.4318439483992499,0.05492495268458712
35,compsva15,book,pear,0.007473901798446866,0.01509068904107181,0.27733466814246793,0.04411053764459846
