,scene,figure,ground,Distinct Prototype,Shared Prototype,Baseline Model,KMeans Model
0,compsva12,box,book,0.03344179957921472,0.03460789673618192,0.2648726081702731,0.010320135984074209
1,compsva12,box,table,0.0299697511666178,0.06435867354479156,0.24958118508074065,0.009380533841911067
2,compsva12,box,pear,0.0506176769928864,0.04509809527970488,0.3203064956156001,0.015771170437581646
3,compsva12,book,box,0.056472884953682176,0.06381453421819096,0.3594867822530329,0.20044409944591451
4,compsva12,book,table,0.02792098403826788,0.053428702744709185,0.2066912331357996,0.008621667968106428
5,compsva12,book,pear,0.07740722348385258,0.06267828556630264,0.4628063278216077,0.2388336458319449
6,compsva12,table,box,0.2119459210177802,0.13309173060026236,0.3212306561038403,0.31226870845345495
7,compsva12,table,book,0.06614601683693762,0.05281581154939696,0.3369651615285464,0.3031237477380944
8,compsva12,table,pear,0.2102915071709837,0.1298896623268038,0.30651829112751483,0.29683507596805453
9,compsva12,pear,box,0.06456359945394446,0.06855439849003173,0.5338995902670564,0.018949739161695397
10,compsva12,pear,book,0.04054117301000042,0.06936365519812293,0.2473359024268868,0.009070196717500383
11,compsva12,pear,table,0.030144111969957938,0.06484567597370904,0.252144204935024,0.00948913936161367
12,compsva13,balloon,book,0.03321870474668428,0.03355587289232002,0.2572277978033557,0.01240657905735093
13,compsva13,balloon,table,0.029534324783974924,0.06698657582967364,0.2865268725976524,0.00989786766101651
14,compsva13,balloon,pear,0.03409773804372995,0.03420256144364564,0.2617422980864746,0.012830111826440794
15,compsva13,book,balloon,0.15041288696444946,0.1356451140138505,0.2969195489989557,0.2375434563310633
16,compsva13,book,table,0.02699927419221831,0.05196432419916777,0.2029543076041239,0.0085108408974805
17,compsva13,book,pear,0.201581760269044,0.1327791289863789,0.30852090706614105,0.2715554982606676
18,compsva13,table,balloon,0.21303608820826445,0.13210076299375068,0.3036221426119766,0.3302989487635357
19,compsva13,table,book,0.06614953462394713,0.0528334765439701,0.3370237216214199,0.30344960206143395
20,compsva13,table,pear,0.21195775376397047,0.12964082085969894,0.30722801934088256,0.3048838518246356
21,compsva13,pear,balloon,0.15025747196329872,0.13570106995772147,0.2989276682570345,0.2389355810269699
22,compsva13,pear,book,0.03067356827909906,0.0658154475036538,0.2565570419067644,0.009671262411897719
23,compsva13,pear,table,0.029745009418688205,0.06289931165066251,0.2428325457519945,0.009256401913286404
24,compsva14,box,book,0.18584502404434064,0.1534641071592978,0.3707612798569205,0.28264726322417993
25,compsva14,box,table,0.14969215622696805,0.08548398182855978,0.36687563243789306,0.5805309495983649
26,compsva14,book,box,0.030562809172341974,0.033630083842459225,0.25037083137874844,0.010616647770302265
27,compsva14,book,table,0.2080844948661524,0.09109534140958213,0.3877256618238028,0.7796310281288857
