,Distinct Prototype,Baseline Model,KMeans Model,Refined Distinct Model,Median Distinct Model
p_value,0.007343966247621433,0.048912065186459866,0.26576041344711654,0,1.5223600586751151e-09
Our model wins,51.0,55.0,49.0,0,74.0
Other model wins,36.0,40.0,41.0,0,22.0
