,Distinct Prototype,Baseline Model,KMeans Model,Refined Distinct Model,Median Distinct Model
Distinct Prototype,0.0,0.8873782367178502,0.9677645460240872,0.9986853367001431,0.006684039668528732
Baseline Model,0.11262176328214973,0.0,0.6784789943022869,0.9777689748967138,1.2084254912016642e-05
KMeans Model,0.03223545397591274,0.3215210056977131,0.0,0.9231250814347074,4.775233098385793e-06
Refined Distinct Model,0.0013146632998568984,0.022231025103286263,0.07687491856529255,0.0,1.9971349963754957e-07
Median Distinct Model,0.9933159603314713,0.9999879157450879,0.9999952247669016,0.9999998002865004,0.0
