,Distinct Prototype,Baseline Model,KMeans Model,Refined Distinct Model,Median Distinct Model
Distinct Prototype,0.0,0.6477170422495624,0.3893505422077319,0.00046668528926129856,0.9971168499878578
Baseline Model,0.35228295775043755,0.0,0.28728630435935526,2.098888380433608e-05,0.9993338057699066
KMeans Model,0.6106494577922681,0.7127136956406448,0.0,0.00020790819420923764,0.9998867824829425
Refined Distinct Model,0.9995333147107387,0.9999790111161957,0.9997920918057908,0.0,0.9999999999196953
Median Distinct Model,0.002883150012142251,0.0006661942300933776,0.00011321751705750956,8.030461635869386e-11,0.0
