,on-canon,on-far1,on-near1,on-near2,on-near3,on-not far1,on-not far2,on-not far3
Number,7.0,13.0,22.0,1.0,6.0,1.0,5.0,5.0
Rank,1.0,0.5006993006993077,0.8113997113997726,1.0,0.9047619047618333,0.8,0.9464285714285999,0.5716666666665999
