,against-canon,against-near1,against-near2,against-near3,against-not far1,against-not far2,against-not far3,against-far1
Number,2.0,2.0,0.0,9.0,0.0,32.0,0.0,4.0
Rank,0.15476190476190477,0.07936507936507936,0.5786708189769414,0.225,0.5786708189769414,0.3394734172077922,0.5786708189769414,0.02403100775193798
