,on-canon,on-near1,on-near2,on-near3,on-not far1,on-not far2,on-not far3,on-far1
Number,9.0,26.0,2.0,6.0,3.0,1.0,4.0,11.0
Rank,0.8428571428571429,0.7708191609977323,0.6666666666666666,0.9047619047619048,0.12549019607843137,0.3333333333333333,0.28055555555555556,0.07842056932966024
