Scene1,Figure1,Ground1,Scene2,Figure2,Ground2,p_value_one_tail
sv_modtypi4,pencil,mug,sv_modtypi3,box,table,0.021052631578947382
sv_modtypi4,pencil,mug,sv_modtypi1,cube,shelf,0.002100840336134455
sv_modtypi4,pencil,mug,sv_modtypi2,pear,bowl,0.07792207792207793
