,on top of-canon,on top of-near1,on top of-near2,on top of-far1
ground_lightsource,-0.2003763469116969,-0.1837955759359402,9.502848406982718,4.985861939142756
ground_container,-0.5803274361730837,0.13140372737502182,0.5376673861278545,2.852095855604278
support,2.0227246381317263,1.8952184750386294,3.0681500336621594,2.910910196734096
ground_verticality,-0.5997862576330744,-0.08579531687462483,1.5332883480857258,1.5709851004081212
shortest_distance,-0.7705945817997996,-0.618405809544517,-1.9742698260102542,-1.2554785534044068
contact_proportion,2.9701596595219897,0.26841067487946474,7.83511037418067,-0.25597538333568126
above_proportion,1.618496856170433,1.535505335363606,-0.37235963316452986,-1.5902342189159464
below_proportion,-0.9162186444471596,-0.8808791854028762,-2.1179993474568723,-2.1785386770859207
bbox_overlap_proportion,-0.23851879102824947,-0.4876761734518684,5.592921917560613,3.319384174071341
horizontal_distance,-0.5094952499974627,-0.3509555018724593,-2.9356016264022156,-2.0665193227740484
f_covers_g,-0.6947728688269008,0.02934180744561915,-0.972160465933877,-1.145327049857463
g_covers_f,1.8903218582162387,0.9477139955129534,3.0993422300111857,0.2760853826907258
location_control,1.1914345547849328,1.2777079443764543,2.5364049885768343,2.282355486525499
