,,,Average Values
Preposition,Number of Selections,Number of Distinct Configurations,ground_lightsource,ground_container,support,ground_verticality,shortest_distance,contact_proportion,above_proportion,below_proportion,bbox_overlap_proportion,horizontal_distance,f_covers_g,g_covers_f,location_control
on,219,60,0.6388308397289103,-0.03724734056072303,1.3833746070245088,0.2990225879208272,-0.5679774131748329,1.317046357246846,0.554105622554978,-0.7357365018753208,0.7011413890478838,-0.008847649809619917,-0.3876363145988173,0.9367119979117016,1.0495909404523434
over,57,31,-0.12166736738870304,0.1994724097094683,0.07052910806067168,-0.17353572055727817,-0.06379634460561903,0.18089620436198725,0.8732593146379799,-0.6259084049904855,0.01413378632566315,0.48232643878555026,0.1953265772392452,0.4853231470976713,0.013037422305814565
on top of,159,56,0.24495016453309157,0.002641614836514831,1.4349346495674538,0.04903038074319949,-0.5252689483677695,0.8166286984881064,0.9710672291873482,-0.7462411464024947,0.08918525551571482,-0.27284194272687357,-0.24511378649134638,0.927651608155462,0.9912254213941433
above,108,47,-0.12166736738870301,-0.029474860281114037,0.44151215175588454,-0.10654607179548006,-0.1299333365888287,0.22993500779745601,1.063314101676439,-0.7247560640577508,-0.0999348773725706,0.36926196667209005,-0.10227275018406773,0.7158055391772289,0.2502638328607307
against,124,49,0.21411712325395443,0.3548868258040572,0.13356940385328192,0.3397384045278595,-0.5301525630544575,0.7038483737037234,-0.7151376058978748,-0.6000400795240608,1.152621746434308,0.007877533589221556,-0.6379354122024828,-0.009018299599616456,0.8056305689368862
under,108,37,0.4951811783844751,-0.5968659206925578,-0.4785446462183228,0.612864504037744,-0.02756282549292671,-0.24097526423820936,-0.9059561524154999,0.19900278577559122,1.7431055562411744,0.028401175270857233,0.08925058664332203,0.4382753350913003,-0.3126992146535084
inside,40,14,-0.12166736738870307,1.4457418967886393,1.0301111116220067,-0.38324244711595046,-0.5883751271400387,2.31412836626376,-0.03930117141288818,-0.7435134042223815,2.5429970412169784,-0.38963446721172756,0.02007133661022517,1.190559399029921,1.429207929223289
below,128,49,0.2036238579213714,-0.5791349500546994,-0.5322732495355328,0.9941866962762671,0.5058584512463998,-0.32985350353371296,-0.9059561524154996,0.543586092027505,0.8537265520755192,0.2703222547644152,-0.0023026442901080413,0.031052645108680027,-0.42294977670052497
in,47,11,-0.12166736738870305,1.6244097200671366,1.0473444780543175,-0.3832424471159504,-0.5955315135074316,2.3491244296313605,0.061084645875814456,-0.7473098585575214,2.365311079967739,-0.39206949873627595,0.030417088285450904,1.200154734779194,1.3998185576180302
none,82,29,1.3000933051860601,0.06739678417937633,-0.5028263375344532,0.8193744817159482,0.4149763437685018,-0.1792373626813449,-0.7069649034721817,-0.224206867387408,-0.13250681781304166,-0.05960072804562759,-0.8550272409707879,-0.6516343678060323,-0.04385973813562108
all,1072,139,0.3366534037944488,0.04250758768153159,0.49324981657646977,0.2997226733112579,-0.23044473462104603,0.6163510450000015,0.07575337594149541,-0.429395319082039,0.7464780947172295,0.020334776198533685,-0.24385889033306865,0.5208887936606629,0.5098780594952519
