Task: sv,Number of users: 37
Preposition,Number of Shared Annotations,Average Expected agreement,Average observed Agreement,Average cohens_kappa
in,2640,0.7012217412217412,0.8901515151515151,0.7262115230816815
inside,2640,0.900034872534872,0.953030303030303,0.8408238085443969
against,2640,0.7418368205868202,0.878030303030303,0.6791543057117463
on,2640,0.6060966810966807,0.8378787878787879,0.6540219897347246
on top of,2640,0.6716901154401153,0.8477272727272728,0.6481067666894291
under,2640,0.8013083213083212,0.9090909090909091,0.7722473931297458
below,2640,0.7864790764790763,0.8583333333333333,0.5997720906544433
over,2640,0.8402164502164501,0.8795454545454545,0.6438028638028637
above,2640,0.7625324675324672,0.8446969696969697,0.5886682969436978
Total Number of Shared Annotations,Average Expected Agreements,Average observed agreements,Average Cohens Kappa
23760,0.7568240607129475,0.8776094276094276,0.6836454486991895
