Number of users: 32
Scene,Number of Users Annotating,Selection Info
compsvu63,3,"[[['on top of', 'book', 1], ['box', 0], ['table', 0], ['none', 1]], [['over', 'book', 2], ['box', 0], ['table', 0], ['none', 2]], [['above', 'book', 2], ['box', 0], ['table', 0], ['none', 2]], [['in', 'book', 2], ['box', 0], ['table', 0], ['none', 2]], [['below', 'book', 2], ['box', 2], ['table', 0]], [['on', 'book', 2], ['box', 0], ['table', 0], ['none', 2]], [['against', 'book', 1], ['box', 0], ['table', 0], ['none', 1]], [['inside', 'book', 2], ['box', 0], ['table', 0], ['none', 2]], [['under', 'book', 1], ['box', 0], ['table', 1]]]"
compsvo34v,4,"[[['on top of', 'board', 1], ['table', 0], ['none', 1], ['book', 0], ['jar', 0]], [['above', 'board', 3], ['table', 0], ['none', 3], ['book', 0], ['jar', 0]], [['in', 'board', 2], ['table', 0], ['none', 2], ['book', 0], ['jar', 0]], [['below', 'board', 3], ['table', 2], ['none', 1], ['book', 0], ['jar', 0]], [['on', 'board', 1], ['table', 0], ['none', 1], ['book', 0], ['jar', 0]], [['against', 'board', 2], ['table', 0], ['book', 0], ['jar', 2]], [['inside', 'board', 3], ['table', 0], ['none', 3], ['book', 0], ['jar', 0]], [['under', 'board', 4], ['table', 2], ['none', 2], ['book', 0], ['jar', 0]]]"
compsvo23v,4,"[[['on top of', 'board', 3], ['table', 0], ['none', 3], ['jar', 0], ['clock', 0]], [['over', 'board', 3], ['table', 0], ['none', 3], ['jar', 0], ['clock', 0]], [['above', 'board', 2], ['table', 0], ['none', 2], ['jar', 0], ['clock', 0]], [['in', 'board', 1], ['table', 0], ['none', 1], ['jar', 0], ['clock', 0]], [['below', 'board', 3], ['table', 1], ['none', 1], ['jar', 1], ['clock', 0]], [['on', 'board', 1], ['table', 0], ['jar', 0], ['clock', 1]], [['against', 'board', 1], ['table', 0], ['jar', 1], ['clock', 0]], [['inside', 'board', 3], ['table', 0], ['none', 3], ['jar', 0], ['clock', 0]], [['under', 'board', 3], ['table', 1], ['none', 1], ['jar', 1], ['clock', 0]]]"
compsvi45,3,"[[['on top of', 'mug', 2], ['table', 0], ['none', 2], ['cup', 0], ['pencil', 0]], [['over', 'mug', 1], ['table', 0], ['cup', 1], ['pencil', 0]], [['above', 'mug', 3], ['table', 0], ['none', 3], ['cup', 0], ['pencil', 0]], [['in', 'mug', 1], ['table', 0], ['none', 1], ['cup', 0], ['pencil', 0]], [['below', 'mug', 2], ['table', 2], ['cup', 0], ['pencil', 0]], [['on', 'mug', 1], ['table', 0], ['cup', 0], ['pencil', 1]], [['against', 'mug', 3], ['table', 0], ['cup', 0], ['pencil', 3]], [['inside', 'mug', 1], ['table', 0], ['none', 1], ['cup', 0], ['pencil', 0]], [['under', 'mug', 1], ['table', 1], ['cup', 0], ['pencil', 0]]]"
compsvi15,4,"[[['on top of', 'box', 1], ['pear', 0], ['pencil', 0], ['none', 1], ['jar', 0], ['table', 0]], [['over', 'box', 2], ['pear', 0], ['pencil', 1], ['none', 1], ['jar', 0], ['table', 0]], [['in', 'box', 2], ['pear', 2], ['pencil', 0], ['jar', 0], ['table', 0]], [['below', 'box', 2], ['pear', 0], ['pencil', 0], ['jar', 0], ['table', 2]], [['on', 'box', 4], ['pear', 1], ['pencil', 0], ['none', 2], ['jar', 1], ['table', 0]], [['against', 'box', 3], ['pear', 1], ['pencil', 0], ['jar', 2], ['table', 0]], [['inside', 'box', 3], ['pear', 3], ['pencil', 0], ['jar', 0], ['table', 0]], [['under', 'box', 3], ['pear', 0], ['pencil', 0], ['none', 1], ['jar', 0], ['table', 2]]]"
compsvo12,3,"[[['on top of', 'table', 2], ['box', 0], ['book', 1], ['book (1)', 1]], [['over', 'table', 1], ['box', 0], ['none', 1], ['book', 0], ['book (1)', 0]], [['in', 'table', 3], ['box', 1], ['none', 2], ['book', 0], ['book (1)', 0]], [['below', 'table', 1], ['box', 1], ['book', 0], ['book (1)', 0]], [['on', 'table', 2], ['box', 0], ['book', 1], ['book (1)', 1]], [['against', 'table', 1], ['box', 0], ['none', 1], ['book', 0], ['book (1)', 0]], [['inside', 'table', 3], ['box', 0], ['none', 3], ['book', 0], ['book (1)', 0]], [['under', 'table', 2], ['box', 2], ['book', 0], ['book (1)', 0]]]"
compsvul,3,"[[['on top of', 'lamp', 3], ['pencil', 2], ['none', 1], ['bowl', 0], ['table', 0]], [['above', 'lamp', 2], ['pencil', 0], ['none', 2], ['bowl', 0], ['table', 0]], [['in', 'lamp', 2], ['pencil', 0], ['none', 2], ['bowl', 0], ['table', 0]], [['on', 'lamp', 3], ['pencil', 3], ['bowl', 0], ['table', 0]], [['against', 'lamp', 2], ['pencil', 2], ['bowl', 0], ['table', 0]], [['inside', 'lamp', 1], ['pencil', 0], ['none', 1], ['bowl', 0], ['table', 0]], [['under', 'lamp', 2], ['pencil', 0], ['bowl', 1], ['table', 1]]]"
compsvi3,6,"[[['on top of', 'mug', 2], ['table', 0], ['none', 1], ['pear', 0], ['pencil', 1]], [['over', 'mug', 2], ['table', 0], ['none', 1], ['pear', 0], ['pencil', 1]], [['above', 'mug', 3], ['table', 0], ['none', 3], ['pear', 0], ['pencil', 0]], [['in', 'mug', 6], ['table', 0], ['none', 5], ['pear', 0], ['pencil', 1]], [['below', 'mug', 2], ['table', 1], ['none', 1], ['pear', 0], ['pencil', 0]], [['on', 'mug', 4], ['table', 0], ['none', 1], ['pear', 0], ['pencil', 3]], [['against', 'mug', 5], ['table', 0], ['pear', 2], ['pencil', 3]], [['inside', 'mug', 4], ['table', 0], ['none', 3], ['pear', 0], ['pencil', 1]], [['under', 'mug', 2], ['table', 0], ['none', 2], ['pear', 0], ['pencil', 0]]]"
compsva34,4,"[[['on top of', 'bin', 3], ['table', 0], ['balloon', 0], ['none', 3]], [['over', 'bin', 3], ['table', 3], ['balloon', 0]], [['above', 'bin', 3], ['table', 2], ['balloon', 1]], [['in', 'bin', 3], ['table', 0], ['balloon', 0], ['none', 3]], [['below', 'bin', 1], ['table', 0], ['balloon', 0], ['none', 1]], [['against', 'bin', 3], ['table', 2], ['balloon', 0], ['none', 1]], [['inside', 'bin', 2], ['table', 0], ['balloon', 0], ['none', 2]], [['under', 'bin', 2], ['table', 0], ['balloon', 0], ['none', 2]]]"
compsvu25,3,"[[['on top of', 'book', 2], ['table', 0], ['cube', 0], ['book (1)', 2]], [['over', 'book', 3], ['table', 0], ['cube', 0], ['book (1)', 3]], [['above', 'book', 2], ['table', 0], ['none', 1], ['cube', 0], ['book (1)', 1]], [['below', 'book', 2], ['table', 1], ['cube', 1], ['book (1)', 0]], [['on', 'book', 1], ['table', 0], ['cube', 0], ['book (1)', 1]], [['against', 'book', 2], ['table', 0], ['none', 1], ['cube', 1], ['book (1)', 0]], [['inside', 'book', 2], ['table', 0], ['none', 2], ['cube', 0], ['book (1)', 0]], [['under', 'book', 1], ['table', 0], ['cube', 1], ['book (1)', 0]]]"
compsvu15,5,"[[['on top of', 'balloon', 2], ['table', 0], ['none', 1], ['book', 1]], [['over', 'balloon', 5], ['table', 0], ['none', 5], ['book', 0]], [['above', 'balloon', 1], ['table', 0], ['none', 1], ['book', 0]], [['in', 'balloon', 3], ['table', 0], ['none', 3], ['book', 0]], [['below', 'balloon', 2], ['table', 0], ['book', 2]], [['on', 'balloon', 3], ['table', 0], ['none', 3], ['book', 0]], [['against', 'balloon', 3], ['table', 0], ['none', 3], ['book', 0]], [['inside', 'balloon', 4], ['table', 1], ['none', 3], ['book', 0]], [['under', 'balloon', 2], ['table', 0], ['book', 2]]]"
compsva12,4,"[[['on top of', 'book', 1], ['box', 0], ['table', 0], ['pear', 1]], [['over', 'book', 1], ['box', 0], ['table', 0], ['none', 1], ['pear', 0]], [['above', 'book', 1], ['box', 0], ['table', 0], ['pear', 1]], [['in', 'book', 1], ['box', 0], ['table', 0], ['none', 1], ['pear', 0]], [['below', 'book', 3], ['box', 0], ['table', 3], ['pear', 0]], [['on', 'book', 3], ['box', 0], ['table', 0], ['pear', 3]], [['against', 'book', 4], ['box', 0], ['table', 0], ['none', 3], ['pear', 1]], [['inside', 'book', 3], ['box', 0], ['table', 0], ['none', 3], ['pear', 0]], [['under', 'book', 3], ['box', 0], ['table', 3], ['pear', 0]]]"
compsvo29,3,"[[['on top of', 'table', 2], ['box', 0], ['book', 2]], [['above', 'table', 1], ['box', 0], ['none', 1], ['book', 0]], [['in', 'table', 1], ['box', 0], ['none', 1], ['book', 0]], [['below', 'table', 2], ['box', 0], ['none', 2], ['book', 0]], [['on', 'table', 1], ['box', 0], ['book', 1]], [['against', 'table', 3], ['box', 0], ['none', 3], ['book', 0]], [['inside', 'table', 2], ['box', 0], ['none', 2], ['book', 0]], [['under', 'table', 3], ['box', 0], ['none', 3], ['book', 0]]]"
compsvo27,6,"[[['on top of', 'table', 3], ['box', 0], ['book', 3]], [['over', 'table', 3], ['box', 0], ['none', 3], ['book', 0]], [['above', 'table', 4], ['box', 0], ['none', 2], ['book', 2]], [['in', 'table', 5], ['box', 1], ['none', 4], ['book', 0]], [['below', 'table', 3], ['box', 3], ['book', 0]], [['on', 'table', 6], ['box', 0], ['none', 1], ['book', 5]], [['against', 'table', 2], ['box', 0], ['none', 2], ['book', 0]], [['inside', 'table', 3], ['box', 1], ['none', 2], ['book', 0]], [['under', 'table', 1], ['box', 1], ['book', 0]]]"
compsva13,7,"[[['on top of', 'book', 6], ['table', 0], ['balloon', 0], ['pear', 6]], [['over', 'book', 5], ['table', 0], ['balloon', 3], ['pear', 0], ['none', 2]], [['above', 'book', 2], ['table', 0], ['balloon', 1], ['pear', 1]], [['below', 'book', 5], ['table', 4], ['balloon', 0], ['pear', 0], ['none', 1]], [['on', 'book', 5], ['table', 0], ['balloon', 0], ['pear', 5]], [['against', 'book', 3], ['table', 0], ['balloon', 0], ['pear', 0], ['none', 3]], [['inside', 'book', 5], ['table', 0], ['balloon', 0], ['pear', 0], ['none', 5]], [['under', 'book', 4], ['table', 4], ['balloon', 0], ['pear', 0]]]"
compsvo79,3,"[[['on top of', 'table', 2], ['box', 0], ['none', 2], ['box (1)', 0]], [['over', 'table', 1], ['box', 0], ['none', 1], ['box (1)', 0]], [['above', 'table', 2], ['box', 0], ['none', 2], ['box (1)', 0]], [['in', 'table', 2], ['box', 0], ['none', 1], ['box (1)', 1]], [['below', 'table', 2], ['box', 0], ['box (1)', 2]], [['on', 'table', 3], ['box', 0], ['none', 3], ['box (1)', 0]], [['under', 'table', 2], ['box', 0], ['box (1)', 2]]]"
compsvi14,3,"[[['on top of', 'bowl', 1], ['table', 0], ['ball', 0], ['pencil', 1]], [['over', 'bowl', 2], ['table', 0], ['none', 2], ['ball', 0], ['pencil', 0]], [['above', 'bowl', 2], ['table', 0], ['ball', 0], ['pencil', 2]], [['in', 'bowl', 2], ['table', 0], ['ball', 2], ['pencil', 0]], [['below', 'bowl', 2], ['table', 1], ['none', 1], ['ball', 0], ['pencil', 0]], [['on', 'bowl', 1], ['table', 0], ['ball', 0], ['pencil', 1]], [['against', 'bowl', 2], ['table', 0], ['none', 2], ['ball', 0], ['pencil', 0]], [['inside', 'bowl', 1], ['table', 0], ['ball', 1], ['pencil', 0]], [['under', 'bowl', 2], ['table', 2], ['ball', 0], ['pencil', 0]]]"
compsvi36,5,"[[['on top of', 'mug', 2], ['table', 0], ['none', 1], ['pear', 0], ['pencil', 1]], [['over', 'mug', 2], ['table', 0], ['none', 1], ['pear', 0], ['pencil', 1]], [['above', 'mug', 3], ['table', 0], ['none', 3], ['pear', 0], ['pencil', 0]], [['in', 'mug', 3], ['table', 0], ['none', 2], ['pear', 0], ['pencil', 1]], [['below', 'mug', 4], ['table', 4], ['pear', 0], ['pencil', 0]], [['on', 'mug', 2], ['table', 0], ['pear', 0], ['pencil', 2]], [['against', 'mug', 3], ['table', 0], ['pear', 1], ['pencil', 2]], [['inside', 'mug', 4], ['table', 0], ['none', 2], ['pear', 0], ['pencil', 2]], [['under', 'mug', 2], ['table', 2], ['pear', 0], ['pencil', 0]]]"
compsvi16,6,"[[['on top of', 'bowl', 5], ['table', 0], ['none', 2], ['pear', 0], ['pencil', 3]], [['over', 'bowl', 4], ['table', 0], ['none', 3], ['pear', 0], ['pencil', 1]], [['above', 'bowl', 3], ['table', 0], ['none', 2], ['pear', 0], ['pencil', 1]], [['in', 'bowl', 3], ['table', 0], ['pear', 0], ['pencil', 3]], [['below', 'bowl', 3], ['table', 3], ['pear', 0], ['pencil', 0]], [['on', 'bowl', 5], ['table', 0], ['none', 3], ['pear', 0], ['pencil', 2]], [['against', 'bowl', 2], ['table', 0], ['pear', 2], ['pencil', 0]], [['inside', 'bowl', 3], ['table', 0], ['pear', 0], ['pencil', 3]], [['under', 'bowl', 2], ['table', 2], ['pear', 0], ['pencil', 0]]]"
