Number of users: 32
Scene,Number of Users Annotating,Selection Info
compsvi23,6,"[[['on top of', 'table', 5], ['box', 2], ['none', 3], ['box (1)', 0]], [['over', 'table', 2], ['box', 0], ['none', 2], ['box (1)', 0]], [['above', 'table', 3], ['box', 1], ['none', 2], ['box (1)', 0]], [['below', 'table', 4], ['box', 0], ['box (1)', 4]], [['on', 'table', 3], ['box', 2], ['none', 1], ['box (1)', 0]], [['against', 'table', 5], ['box', 3], ['none', 2], ['box (1)', 0]], [['inside', 'table', 4], ['box', 2], ['none', 2], ['box (1)', 0]], [['under', 'table', 4], ['box', 0], ['box (1)', 4]]]"
compsvu23,3,"[[['on top of', 'book', 2], ['box', 0], ['table', 0], ['none', 2], ['pear', 0]], [['over', 'book', 3], ['box', 0], ['table', 0], ['none', 3], ['pear', 0]], [['above', 'book', 2], ['box', 0], ['table', 0], ['none', 2], ['pear', 0]], [['in', 'book', 1], ['box', 0], ['table', 0], ['none', 1], ['pear', 0]], [['on', 'book', 3], ['box', 0], ['table', 0], ['none', 3], ['pear', 0]], [['against', 'book', 1], ['box', 0], ['table', 0], ['none', 1], ['pear', 0]], [['inside', 'book', 3], ['box', 0], ['table', 0], ['none', 3], ['pear', 0]]]"
compsvi26a,5,"[[['on top of', 'lamp', 4], ['pencil', 2], ['none', 2], ['bowl', 0], ['table', 0]], [['over', 'lamp', 2], ['pencil', 0], ['none', 2], ['bowl', 0], ['table', 0]], [['above', 'lamp', 4], ['pencil', 1], ['none', 3], ['bowl', 0], ['table', 0]], [['in', 'lamp', 1], ['pencil', 0], ['none', 1], ['bowl', 0], ['table', 0]], [['below', 'lamp', 2], ['pencil', 0], ['none', 1], ['bowl', 1], ['table', 0]], [['on', 'lamp', 2], ['pencil', 2], ['bowl', 0], ['table', 0]], [['against', 'lamp', 4], ['pencil', 3], ['none', 1], ['bowl', 0], ['table', 0]], [['inside', 'lamp', 4], ['pencil', 0], ['none', 4], ['bowl', 0], ['table', 0]], [['under', 'lamp', 2], ['pencil', 0], ['none', 1], ['bowl', 0], ['table', 1]]]"
compsvo14v,3,"[[['on top of', 'board', 1], ['table', 0], ['book', 1], ['jar', 0]], [['over', 'board', 2], ['table', 0], ['book', 2], ['jar', 0]], [['in', 'board', 2], ['table', 0], ['none', 2], ['book', 0], ['jar', 0]], [['below', 'board', 1], ['table', 0], ['book', 0], ['jar', 1]], [['on', 'board', 2], ['table', 0], ['book', 2], ['jar', 0]], [['against', 'board', 1], ['table', 0], ['none', 1], ['book', 0], ['jar', 0]], [['inside', 'board', 3], ['table', 0], ['none', 3], ['book', 0], ['jar', 0]], [['under', 'board', 3], ['table', 3], ['book', 0], ['jar', 0]]]"
compsvo18,6,"[[['on top of', 'table', 4], ['box', 0], ['none', 1], ['book', 3]], [['over', 'table', 3], ['box', 0], ['none', 2], ['book', 1]], [['above', 'table', 5], ['box', 0], ['none', 4], ['book', 1]], [['in', 'table', 4], ['box', 0], ['none', 4], ['book', 0]], [['below', 'table', 1], ['box', 1], ['book', 0]], [['on', 'table', 3], ['box', 0], ['book', 3]], [['against', 'table', 3], ['box', 3], ['book', 0]], [['inside', 'table', 4], ['box', 0], ['none', 4], ['book', 0]], [['under', 'table', 3], ['box', 0], ['none', 3], ['book', 0]]]"
compsvo69a,5,"[[['on top of', 'table', 2], ['box', 0], ['balloon', 0], ['none', 2]], [['over', 'table', 4], ['box', 0], ['balloon', 3], ['none', 1]], [['above', 'table', 2], ['box', 0], ['balloon', 2]], [['in', 'table', 3], ['box', 0], ['balloon', 0], ['none', 3]], [['below', 'table', 3], ['box', 1], ['balloon', 0], ['none', 2]], [['on', 'table', 3], ['box', 0], ['balloon', 1], ['none', 2]], [['against', 'table', 3], ['box', 0], ['balloon', 1], ['none', 2]], [['inside', 'table', 3], ['box', 0], ['balloon', 0], ['none', 3]], [['under', 'table', 2], ['box', 1], ['balloon', 0], ['none', 1]]]"
compsvu56,3,"[[['over', 'balloon', 2], ['box', 0], ['table', 0], ['none', 2]], [['above', 'balloon', 2], ['box', 0], ['table', 0], ['none', 2]], [['in', 'balloon', 2], ['box', 0], ['table', 0], ['none', 2]], [['below', 'balloon', 2], ['box', 2], ['table', 0]], [['on', 'balloon', 2], ['box', 0], ['table', 0], ['none', 2]], [['inside', 'balloon', 3], ['box', 0], ['table', 0], ['none', 3]], [['under', 'balloon', 2], ['box', 2], ['table', 0]]]"
compsvi46,4,"[[['on top of', 'bowl', 2], ['table', 0], ['ball', 0], ['pencil', 2]], [['over', 'bowl', 2], ['table', 0], ['none', 1], ['ball', 0], ['pencil', 1]], [['above', 'bowl', 3], ['table', 0], ['none', 1], ['ball', 0], ['pencil', 2]], [['in', 'bowl', 3], ['table', 0], ['none', 2], ['ball', 0], ['pencil', 1]], [['below', 'bowl', 1], ['table', 1], ['ball', 0], ['pencil', 0]], [['on', 'bowl', 2], ['table', 0], ['ball', 0], ['pencil', 2]], [['against', 'bowl', 2], ['table', 0], ['ball', 2], ['pencil', 0]], [['inside', 'bowl', 1], ['table', 0], ['none', 1], ['ball', 0], ['pencil', 0]], [['under', 'bowl', 2], ['table', 1], ['ball', 1], ['pencil', 0]]]"
compsva23,3,"[[['on top of', 'book', 3], ['box', 3], ['table', 0], ['balloon', 0]], [['over', 'book', 2], ['box', 0], ['table', 0], ['balloon', 2]], [['above', 'book', 2], ['box', 1], ['table', 0], ['balloon', 0], ['none', 1]], [['in', 'book', 2], ['box', 0], ['table', 0], ['balloon', 0], ['none', 2]], [['on', 'book', 1], ['box', 1], ['table', 0], ['balloon', 0]], [['against', 'book', 1], ['box', 1], ['table', 0], ['balloon', 0]], [['inside', 'book', 2], ['box', 0], ['table', 0], ['balloon', 0], ['none', 2]], [['under', 'book', 2], ['box', 0], ['table', 2], ['balloon', 0]]]"
compsvi24a,4,"[[['on top of', 'cup', 1], ['table', 0], ['cube', 0], ['pear', 1]], [['over', 'cup', 3], ['table', 0], ['cube', 0], ['pear', 3]], [['above', 'cup', 2], ['table', 0], ['cube', 0], ['pear', 2]], [['in', 'cup', 3], ['table', 0], ['cube', 0], ['pear', 3]], [['below', 'cup', 4], ['table', 4], ['cube', 0], ['pear', 0]], [['on', 'cup', 1], ['table', 0], ['cube', 0], ['pear', 1]], [['against', 'cup', 1], ['table', 0], ['cube', 1], ['pear', 0]], [['inside', 'cup', 3], ['table', 0], ['cube', 0], ['pear', 3]], [['under', 'cup', 2], ['table', 2], ['cube', 0], ['pear', 0]]]"
compsvo16a,5,"[[['on top of', 'table', 3], ['balloon', 0], ['book', 3]], [['over', 'table', 3], ['balloon', 2], ['book', 0], ['none', 1]], [['above', 'table', 2], ['balloon', 2], ['book', 0]], [['in', 'table', 3], ['balloon', 0], ['book', 0], ['none', 3]], [['below', 'table', 2], ['balloon', 0], ['book', 0], ['none', 2]], [['on', 'table', 2], ['balloon', 0], ['book', 2]], [['against', 'table', 5], ['balloon', 1], ['book', 0], ['none', 4]], [['inside', 'table', 3], ['balloon', 0], ['book', 0], ['none', 3]], [['under', 'table', 2], ['balloon', 0], ['book', 0], ['none', 2]]]"
compsvo17,4,"[[['on top of', 'table', 2], ['box', 0], ['book', 2]], [['over', 'table', 3], ['box', 0], ['none', 3], ['book', 0]], [['above', 'table', 3], ['box', 0], ['none', 1], ['book', 2]], [['in', 'table', 3], ['box', 1], ['none', 2], ['book', 0]], [['below', 'table', 3], ['box', 3], ['book', 0]], [['on', 'table', 3], ['box', 0], ['book', 3]], [['against', 'table', 2], ['box', 0], ['none', 2], ['book', 0]], [['under', 'table', 1], ['box', 1], ['book', 0]]]"
compsvi34,4,"[[['on top of', 'mug', 3], ['table', 0], ['pencil', 0], ['pencil (1)', 3]], [['above', 'mug', 2], ['table', 0], ['pencil', 0], ['pencil (1)', 2]], [['in', 'mug', 3], ['table', 0], ['none', 1], ['pencil', 2], ['pencil (1)', 0]], [['below', 'mug', 4], ['table', 3], ['none', 1], ['pencil', 0], ['pencil (1)', 0]], [['on', 'mug', 2], ['table', 0], ['pencil', 0], ['pencil (1)', 2]], [['against', 'mug', 1], ['table', 0], ['pencil', 1], ['pencil (1)', 0]], [['inside', 'mug', 3], ['table', 0], ['none', 2], ['pencil', 1], ['pencil (1)', 0]], [['under', 'mug', 2], ['table', 2], ['pencil', 0], ['pencil (1)', 0]]]"
compsvo16,7,"[[['on top of', 'table', 6], ['balloon', 0], ['book', 6]], [['over', 'table', 3], ['balloon', 3], ['book', 0]], [['above', 'table', 4], ['balloon', 4], ['book', 0]], [['in', 'table', 4], ['balloon', 0], ['book', 0], ['none', 4]], [['below', 'table', 4], ['balloon', 0], ['book', 0], ['none', 4]], [['on', 'table', 3], ['balloon', 0], ['book', 3]], [['against', 'table', 3], ['balloon', 0], ['book', 0], ['none', 3]], [['inside', 'table', 2], ['balloon', 0], ['book', 0], ['none', 2]], [['under', 'table', 4], ['balloon', 0], ['book', 0], ['none', 4]]]"
compsvu67a,4,"[[['on top of', 'balloon', 2], ['box', 0], ['table', 0], ['none', 2]], [['over', 'balloon', 1], ['box', 0], ['table', 0], ['none', 1]], [['in', 'balloon', 3], ['box', 0], ['table', 0], ['none', 3]], [['below', 'balloon', 3], ['box', 0], ['table', 2], ['none', 1]], [['on', 'balloon', 4], ['box', 0], ['table', 0], ['none', 4]], [['against', 'balloon', 3], ['box', 0], ['table', 0], ['none', 3]], [['inside', 'balloon', 3], ['box', 0], ['table', 0], ['none', 3]], [['under', 'balloon', 1], ['box', 0], ['table', 1]]]"
compsvu53,3,"[[['on top of', 'book', 1], ['box', 0], ['table', 0], ['none', 1]], [['over', 'book', 1], ['box', 0], ['table', 0], ['none', 1]], [['above', 'book', 1], ['box', 0], ['table', 0], ['none', 1]], [['in', 'book', 3], ['box', 0], ['table', 0], ['none', 3]], [['below', 'book', 3], ['box', 3], ['table', 0]], [['on', 'book', 1], ['box', 0], ['table', 0], ['none', 1]], [['against', 'book', 1], ['box', 0], ['table', 0], ['none', 1]], [['inside', 'book', 1], ['box', 0], ['table', 0], ['none', 1]], [['under', 'book', 3], ['box', 2], ['table', 1]]]"
compsvu16,4,"[[['on top of', 'balloon', 3], ['table', 0], ['none', 3], ['book', 0]], [['over', 'balloon', 1], ['table', 0], ['none', 1], ['book', 0]], [['above', 'balloon', 2], ['table', 0], ['none', 2], ['book', 0]], [['in', 'balloon', 3], ['table', 0], ['none', 3], ['book', 0]], [['on', 'balloon', 4], ['table', 0], ['none', 4], ['book', 0]], [['against', 'balloon', 1], ['table', 0], ['none', 1], ['book', 0]], [['inside', 'balloon', 3], ['table', 0], ['none', 3], ['book', 0]], [['under', 'balloon', 3], ['table', 3], ['book', 0]]]"
compsvi12,3,"[[['on top of', 'cup', 2], ['pencil', 1], ['none', 1], ['cube', 0], ['table', 0]], [['on top of', 'table', 1], ['pencil', 0], ['cube', 0], ['cup', 1]], [['over', 'cup', 1], ['pencil', 0], ['none', 1], ['cube', 0], ['table', 0]], [['over', 'table', 2], ['pencil', 0], ['none', 2], ['cube', 0], ['cup', 0]], [['above', 'table', 3], ['pencil', 0], ['cube', 0], ['cup', 3]], [['in', 'table', 2], ['pencil', 0], ['none', 2], ['cube', 0], ['cup', 0]], [['in', 'cup', 1], ['pencil', 1], ['cube', 0], ['table', 0]], [['below', 'cup', 2], ['pencil', 0], ['cube', 0], ['table', 2]], [['below', 'table', 1], ['pencil', 0], ['none', 1], ['cube', 0], ['cup', 0]], [['on', 'table', 2], ['pencil', 0], ['cube', 0], ['cup', 2]], [['on', 'cup', 1], ['pencil', 1], ['cube', 0], ['table', 0]], [['against', 'table', 2], ['pencil', 0], ['none', 1], ['cube', 1], ['cup', 0]], [['against', 'cup', 1], ['pencil', 0], ['cube', 1], ['table', 0]], [['inside', 'table', 2], ['pencil', 0], ['none', 2], ['cube', 0], ['cup', 0]], [['inside', 'cup', 1], ['pencil', 1], ['cube', 0], ['table', 0]], [['under', 'cup', 3], ['pencil', 0], ['none', 1], ['cube', 0], ['table', 2]]]"
compsvo78,3,"[[['on top of', 'table', 1], ['box', 0], ['none', 1], ['box (1)', 0]], [['over', 'table', 2], ['box', 0], ['none', 2], ['box (1)', 0]], [['above', 'table', 2], ['box', 0], ['none', 2], ['box (1)', 0]], [['in', 'table', 1], ['box', 0], ['none', 1], ['box (1)', 0]], [['below', 'table', 3], ['box', 0], ['box (1)', 3]], [['on', 'table', 1], ['box', 0], ['none', 1], ['box (1)', 0]], [['against', 'table', 2], ['box', 2], ['box (1)', 0]], [['inside', 'table', 1], ['box', 0], ['box (1)', 1]], [['under', 'table', 2], ['box', 0], ['box (1)', 2]]]"
compsvu17,4,"[[['on top of', 'table', 2], ['box', 0], ['none', 2], ['box (1)', 0]], [['over', 'table', 3], ['box', 0], ['none', 3], ['box (1)', 0]], [['above', 'table', 4], ['box', 0], ['none', 4], ['box (1)', 0]], [['in', 'table', 2], ['box', 0], ['none', 2], ['box (1)', 0]], [['below', 'table', 2], ['box', 2], ['box (1)', 0]], [['on', 'table', 3], ['box', 0], ['none', 3], ['box (1)', 0]], [['against', 'table', 1], ['box', 0], ['box (1)', 1]], [['inside', 'table', 2], ['box', 0], ['none', 2], ['box (1)', 0]], [['under', 'table', 1], ['box', 1], ['box (1)', 0]]]"
compsvo67,3,"[[['on top of', 'table', 3], ['box', 0], ['balloon', 0], ['none', 3]], [['over', 'table', 1], ['box', 0], ['balloon', 0], ['none', 1]], [['above', 'table', 2], ['box', 0], ['balloon', 2]], [['in', 'table', 3], ['box', 0], ['balloon', 0], ['none', 3]], [['below', 'table', 1], ['box', 1], ['balloon', 0]], [['on', 'table', 1], ['box', 0], ['balloon', 0], ['none', 1]], [['against', 'table', 1], ['box', 0], ['balloon', 0], ['none', 1]], [['inside', 'table', 2], ['box', 0], ['balloon', 0], ['none', 2]], [['under', 'table', 1], ['box', 1], ['balloon', 0]]]"
compsva25,3,"[[['on top of', 'bin', 2], ['picture', 2], ['table', 0]], [['over', 'bin', 2], ['picture', 1], ['table', 1]], [['above', 'bin', 1], ['picture', 1], ['table', 0]], [['in', 'bin', 2], ['picture', 1], ['none', 1], ['table', 0]], [['below', 'bin', 2], ['picture', 0], ['none', 2], ['table', 0]], [['on', 'bin', 1], ['picture', 1], ['table', 0]], [['inside', 'bin', 2], ['picture', 0], ['none', 2], ['table', 0]], [['under', 'bin', 3], ['picture', 0], ['none', 3], ['table', 0]]]"
compsvo12v,3,"[[['on top of', 'board', 2], ['table', 0], ['book', 2], ['clock', 0]], [['over', 'board', 2], ['table', 0], ['book', 2], ['clock', 0]], [['above', 'board', 2], ['table', 0], ['none', 1], ['book', 1], ['clock', 0]], [['below', 'board', 1], ['table', 0], ['none', 1], ['book', 0], ['clock', 0]], [['on', 'board', 3], ['table', 0], ['book', 0], ['clock', 3]], [['against', 'board', 2], ['table', 0], ['none', 1], ['book', 0], ['clock', 1]], [['under', 'board', 3], ['table', 2], ['none', 1], ['book', 0], ['clock', 0]]]"
