Scene,Figure,Ground,horizontal_distance_normalized,ground_lightsource,ground_container,support,location_control_x,location_control_z,ground_verticality,figure_volume,ground_volume,size_ratio,shortest_distance,shortest_distance_normalized,contact_proportion,above_proportion,below_proportion,bbox_overlap_proportion,horizontal_projection_overlap_proportion,location_control_-x,location_control_-z,horizontal_distance,f_covers_g,g_covers_f,figure_lightsource,figure_container
sv_modtypa1,box,box,0.0,0,1,0.0,1.0,1.0,0.0,0.02090601,0.02090601,1.0,0.0,?,0.5517241,0.0,0.0,1.0,?,1.0,1.0,0.0,1.0,1.0,0,1
sv_modtypa1,box,table,0.08122383,0,0,0.002297685,0.009243433,0.3041552,0.0,0.02090601,1.487662,0.01405293,0.01737696,?,0.0,0.0,0.0862069,0.005173035,?,1.0,0.0013862229999999998,1.137134,0.000179548,0.005179377,0,1
sv_modtypa1,table,box,0.08122383,0,1,0.00012895120000000002,0.14141410000000001,0.001664015,0.0,1.487662,0.02090601,71.15953,0.00040632099999999996,?,0.01100629,0.7704403,0.0,7.269600000000001e-05,?,0.0035275690000000004,0.0016401920000000002,1.137134,0.005179377,0.000179548,0,0
sv_modtypa1,table,table,0.0,0,0,0.0,1.0,1.0,0.0,1.487662,1.487662,1.0,0.0,?,1.0,0.0,0.0,1.0,?,1.0,1.0,0.0,1.0,1.0,0,0
sv_modtypa2,box,box,0.0,0,1,0.0,1.0,1.0,0.0,0.02136516,0.02136516,1.0,0.0,?,0.5086207,0.0,0.0,1.0,?,1.0,1.0,0.0,1.0,1.0,0,1
sv_modtypa2,box,table,0.08322012,0,0,0.02151482,0.03576009,0.08540794,0.0,0.02136516,1.487553,0.01436262,0.04946048,?,0.0,0.0,0.0,0.0,?,0.1967684,0.06223245,1.165082,0.0,0.0,0,1
sv_modtypa2,table,box,0.08322012,0,1,0.0001125358,0.001066202,0.0002184432,0.0,1.487553,0.02136516,69.62516,0.02984258,?,0.0,0.7704403,0.08176101,0.0,?,0.001191345,0.0002088333,1.165082,0.0,0.0,0,0
sv_modtypa2,table,table,0.0,0,0,0.0,1.0,1.0,0.0,1.487553,1.487553,1.0,0.0,?,1.0,0.0,0.0,1.0,?,1.0,1.0,0.0,1.0,1.0,0,0
sv_modtypi1,table,table,0.0,0,0,0.0,1.0,1.0,0.0,1.485738,1.485738,1.0,0.0,?,1.0,0.004716980999999999,0.0,1.0,?,1.0,1.0,0.0,1.0,1.0,0,0
sv_modtypi1,table,shelf,0.02012809,0,0,8.691385e-05,0.01271565,0.01423164,0.0,1.485738,0.2288127,6.49325,0.03918307,?,0.0,0.0,1.0,0.0,?,0.02674842,0.01940416,0.2817933,1.0,0.151512,0,0
sv_modtypi1,table,cube,0.007315835,0,0,0.0006982733999999999,0.002236502,0.0026530890000000004,0.0,1.485738,0.001104575,1345.077,0.1975751,?,0.0,0.0,1.0,0.0,?,0.003424618,0.0028184409999999997,0.1024217,1.0,0.005885693000000001,0,0
sv_modtypi1,shelf,table,0.02012809,0,0,0.9999728999999999,1.0,1.0,0.0,0.2288127,1.485738,0.1540061,1.908e-06,?,0.06946355,1.0,0.0,0.0,?,1.0,1.0,0.2817933,0.1515119,1.0,0,0
sv_modtypi1,shelf,shelf,0.0,0,0,0.0,1.0,1.0,0.0,0.2288127,0.2288127,1.0,0.0,?,1.0,0.01650619,0.0,1.0,?,1.0,1.0,0.0,1.0,1.0,0,0
sv_modtypi1,shelf,cube,0.01433309,0,0,0.0,0.0005490057,0.0006967707000000001,0.0,0.2288127,0.001104575,207.15,0.1179224,?,0.0,0.6966988,0.1891334,0.00482742,?,0.007129188000000001,0.004946651,0.2006633,1.0,0.03888004,0,0
sv_modtypi1,cube,table,0.007315835,0,0,0.9921396,1.0,1.0,0.0,0.001104575,1.485738,0.000743452,0.1767263,?,0.0,1.0,0.0,0.0,?,1.0,1.0,0.1024217,0.005608836999999999,1.0,0,0
sv_modtypi1,cube,shelf,0.01433309,0,0,0.9999796999999999,0.02366003,0.8287661000000001,0.0,0.001104575,0.2288127,0.00482742,0.0,?,0.5,0.0,0.0,1.0,?,0.03402158,0.9811837999999999,0.2006633,0.03888004,1.0,0,0
sv_modtypi1,cube,cube,0.0,0,0,0.0,1.0,1.0,0.0,0.001104575,0.001104575,1.0,0.0,?,0.875,0.0,0.0,1.0,?,1.0,1.0,0.0,1.0,1.0,0,0
sv_modtypi2,ball (4),ball (4),0.0,0,0,0.0,1.0,1.0,0.0,0.0034032409999999996,0.0034032409999999996,1.0,0.0,?,1.0,0.0,0.0,1.0,?,1.0,1.0,0.0,1.0,1.0,0,0
sv_modtypi2,ball (4),ball (1),0.0062963690000000004,0,0,0.02968712,0.7790768,0.1451078,0.0,0.0034032409999999996,0.003383374,1.005872,0.0,?,0.06796116,0.0,0.0,0.2852533,?,0.9320265,0.8724745,0.08814917,0.3334957,0.3350266,0,0
