Annotation ID,Clean User ID,Task,Scene,Prepositions,Figure,Ground,Time
9ff44cef-6e90-4b2e-8274-94aa1dff96d3,2,sv_mod,sv_modtypi4,in;;,pencil,mug,24072020-153003
2844a709-4397-4969-9749-149c89815a49,2,sv_mod,sv_modtypov2,on;over;on top of;above;;,lid,pan,24072020-153036
a9e21c48-eae5-49cb-bb82-3090148ad793,2,sv_mod,sv_modtypo3,in;inside;;,pear,bowl,24072020-153111
b64d8af0-cc47-4740-867b-6133bade4b6a,2,sv_mod,sv_modtypov4,over;on top of;above;;,tap,sink,24072020-153137
68a16c4b-ff2a-4b46-8589-b9fb74adc3a1,2,sv_mod,sv_modtypu2,under;below;;,bin,table,24072020-153153
f83aaa5a-57b4-4406-a993-dab999a8af4d,2,sv_mod,sv_modtypov1,over;on top of;above;;,table,bin,24072020-153211
eb65ac0f-9ebf-42b6-9e95-c0a6cb1f0e56,4,sv_mod,sv_modtypov1,over;above;;,table,bin,27072020-095914
4988f4b1-93d2-4a00-b2f4-6a0ee42fb19b,4,sv_mod,sv_modtypi3,in;against;under;inside;below;;,box,table,27072020-095934
bc4f3b37-2055-4a6b-addd-fb46982d9923,4,sv_mod,sv_modtypov4,against;over;above;;,tap,sink,27072020-095952
abe630a9-3fbd-4317-8bd5-91ac059f8925,4,sv_mod,sv_modtypov2,against;on;over;on top of;above;;,lid,pan,27072020-100013
3fd7339a-55cd-406d-aa11-69cf478f5122,4,sv_mod,sv_modtypo3,in;inside;;,pear,bowl,27072020-100031
1e2c7ed6-27c5-4fbd-a4ab-35a72fac0d56,4,sv_mod,sv_modtypi4,in;inside;;,pencil,mug,27072020-100046
845aa03e-ee7f-40e7-94cb-506e2217d1f2,7,sv_mod,sv_modtypov4,against;over;on top of;above;;,tap,sink,27072020-103235
c128f433-0844-4afb-a5e2-d9497bd747a1,7,sv_mod,sv_modtypa2,against;below;;,box,table,27072020-103253
1cb602ef-3e0d-412d-9813-73f6d7e475cb,7,sv_mod,sv_modtypov3,on;over;on top of;above;;,shelf,pencil,27072020-103308
a7b3cc58-113f-459c-8903-f8659578b9b3,7,sv_mod,sv_modtypu1,under;below;;,notepad,lamp,27072020-103320
80af8ac3-6274-4ac5-a176-b9c1e161b3d4,7,sv_mod,sv_modtypi3,in;against;under;inside;below;;,box,table,27072020-103332
c5a123ef-f02a-4143-b011-7c33c8a000d9,7,sv_mod,sv_modtypu4,against;under;below;;,sink,tap,27072020-103346
39e08e72-a2aa-4415-8ed1-b4046ed8b0fa,8,sv_mod,sv_modtypi4,in;inside;;,pencil,mug,27072020-130356
a696d628-5692-498e-adf6-76f1e4cc2731,8,sv_mod,sv_modtypo1,on;on top of;;,spoon,plate,27072020-130413
f87daea4-8063-4fcb-bf12-91ae8193492d,8,sv_mod,sv_modtypu2,under;below;;,bin,table,27072020-130440
8736a6f7-2c81-407c-b1c5-71fcf4c012a6,8,sv_mod,sv_modtypov1,over;above;;,table,bin,27072020-130455
19e3c3b1-8051-4ac6-8d06-a5e69b282fe3,8,sv_mod,sv_modtypu3,under;below;;,pencil,shelf,27072020-130507
