,below-canon,below-near1,below-near2,below-far1
ground_lightsource,-0.15075044783551755,-0.6768310585845643,-0.21091381252096958,0.686500730081341
ground_container,-0.6946236354083828,4.345740650002683,-0.896852317889944,-1.1493156862793628
support,-0.7616131601357484,1.9658349068432228,-1.061536354812679,-0.9394686599710074
ground_verticality,0.9943769451664561,-1.1137208779619898,2.2177183975535173,-0.2505072276257407
shortest_distance,0.1775494144317048,-0.7079049170082982,1.542037467990014,-0.31816521162087225
contact_proportion,-0.3107167325896454,-3.047703395304146,-0.6994092132900731,-1.0590359183503253
above_proportion,-1.041449030041972,-3.4923646386630196,-1.321739401064741,-1.6716553987718434
below_proportion,0.8737088890065675,-0.6862486053936239,1.9439554502524174,-0.6436576409012301
bbox_overlap_proportion,0.32650793860906435,4.507557118071133,-0.459672159588853,4.153706791688107
horizontal_distance,-0.9403212957587019,-1.835779830884727,1.1126333967830175,1.1333163490008216
f_covers_g,0.8783897562816203,-0.5618550028192099,0.3531719289124899,-0.9660448474563446
g_covers_f,0.9959003021376267,-0.40570380293112385,-0.8434721105575588,0.7515055879138524
location_control,-0.6581825513890965,0.7803989263057076,-1.263895132782408,-0.2980307496875936
