,on top of-canon,on top of-near1,on top of-near2,on top of-far1
ground_lightsource,-0.17450175298245513,-0.1837955759359402,9.051405046682799,4.985861939142756
ground_container,-0.6976622851068391,0.13140372737502182,0.9306364491391512,2.852095855604278
support,1.8584203339209167,1.8952184750386294,3.3249533677615433,2.910910196734096
ground_verticality,-0.5286001845956986,-0.08579531687462483,1.2876523241428057,1.5709851004081212
shortest_distance,-0.7153619457116759,-0.618405809544517,-2.0489013820191007,-1.2554785534044068
contact_proportion,2.7669969326918222,0.26841067487946474,7.955493092321765,-0.25597538333568126
above_proportion,1.5867912396306831,1.535505335363606,-0.12576137369952822,-1.5902342189159464
below_proportion,-0.8610707774519001,-0.8808791854028762,-2.192510068749902,-2.1785386770859207
bbox_overlap_proportion,-0.3627006630363099,-0.4876761734518684,5.816830578549182,3.319384174071341
horizontal_distance,-0.3799611346614745,-0.3509555018724593,-3.106391741290791,-2.0665193227740484
f_covers_g,-0.6973551675586016,0.02934180744561915,-0.7571059470013926,-1.145327049857463
g_covers_f,1.7598427125647818,0.9477139955129534,3.341045947447691,0.2760853826907258
location_control,1.0808898731011598,1.2777079443764543,2.861887730201191,2.282355486525499
