,in-canon,in-near1,in-near2,in-far1
ground_lightsource,-0.12166736738870337,0.26868210298338613,-0.1791768407811164,0.26868210298338613
ground_container,1.6726983209532145,-0.10039874283254446,1.8659997931600782,-0.10039874283254446
support,-0.3546770403316406,0.21992899893483714,1.5139595408379578,0.21992899893483714
ground_verticality,-0.3832424471159503,0.31714525291399026,-0.48642928572200955,0.31714525291399026
shortest_distance,-0.6025738939872244,-0.10967259195963396,-0.6631092989261604,-0.10967259195963396
contact_proportion,6.5471344928181585,0.3461347308534679,1.7294070174528184,0.3461347308534679
above_proportion,-0.9059561524155033,-0.06966595655896236,0.2711218313571848,-0.06966595655896236
below_proportion,-0.7484621051199396,-0.3301402902697654,-0.8073497709233932,-0.3301402902697654
bbox_overlap_proportion,4.484547264095122,0.5275296901679787,2.1136327657165572,0.5275296901679787
horizontal_distance,-0.5816543166231914,0.13045760473879897,-1.0080082446894703,0.13045760473879897
f_covers_g,-0.00833428705709377,-0.32701331238535236,0.23632489191986983,-0.32701331238535236
g_covers_f,1.5240177774945134,0.28634442816293537,1.1415386292335856,0.28634442816293537
location_control,1.7824508750370314,0.36579348245602494,1.506161861701461,0.36579348245602494
