,scene,figure,ground,Distinct Prototype,Shared Prototype,Baseline Model
0,compsva12,box,book,0.09362327676436433,0.09688786892849936,0.2648726081702731
1,compsva12,box,table,0.1122324014881615,0.2410139626574592,0.24958118508074062
2,compsva12,box,pear,0.14170866526033649,0.12625610789623148,0.3203064956156001
3,compsva12,book,box,0.15810083799996405,0.17865443468574804,0.35948678225303293
4,compsva12,book,table,0.10456006368240636,0.20008279628677872,0.20669123313579957
5,compsva12,book,pear,0.2167083709303155,0.1754734060524984,0.46280632782160774
6,compsva12,table,box,0.20260086277185568,0.12722348851030954,0.3212306561038403
7,compsva12,table,book,0.18518162656037104,0.14786253743644426,0.3369651615285464
8,compsva12,table,pear,0.20101939486186668,0.12416260490499274,0.30651829112751483
9,compsva12,pear,box,0.1807515090885592,0.19192410408547386,0.5338995902670564
10,compsva12,pear,book,0.15182085365885514,0.25975689806705465,0.2473359024268868
11,compsva12,pear,table,0.1128853575829744,0.2428377166093724,0.252144204935024
12,compsva13,balloon,book,0.09299870304185212,0.09394263509730892,0.25722779780335575
13,compsva13,balloon,table,0.110601792400898,0.2508550782098986,0.2865268725976524
14,compsva13,balloon,pear,0.09545963453148257,0.09575309691404484,0.2617422980864746
15,compsva13,book,balloon,0.14378092545808702,0.12966428888097062,0.29691954899895573
16,compsva13,book,table,0.1011083930655128,0.19459890955244644,0.2029543076041239
17,compsva13,book,pear,0.1926936756011056,0.126924670036368,0.30852090706614105
18,compsva13,table,balloon,0.2036429626258988,0.12627621436087505,0.3036221426119766
19,compsva13,table,book,0.1851914749163487,0.14791199215170395,0.3370237216214199
20,compsva13,table,pear,0.20261217379202354,0.1239247352838802,0.30722801934088256
21,compsva13,pear,balloon,0.14363236297021456,0.1297177776315492,0.2989276682570345
22,compsva13,pear,book,0.1148680952015688,0.2464693713099887,0.2565570419067644
23,compsva13,pear,table,0.11139077601237576,0.2355488625601032,0.24283254575199448
24,compsva14,box,book,0.17765079899830202,0.14669761213464416,0.37076127985692053
25,compsva14,box,table,0.5605755644713833,0.3201251994402979,0.36687563243789306
26,compsva14,book,box,0.08556328839483515,0.09415039521821306,0.25037083137874844
27,compsva14,book,table,0.7792464622559916,0.3411389328507116,0.3877256618238028
28,compsva14,table,box,0.11673212269466753,0.1045125655434642,0.2774022788525898
29,compsva14,table,book,0.1320972830435734,0.11793769461038266,0.31116270604517154
30,compsva15,balloon,book,0.11295650941193153,0.11631782264609515,0.30580996030164137
31,compsva15,balloon,table,0.11106925178595756,0.2540839441262587,0.2906914911724862
32,compsva15,balloon,pear,0.0997090705225217,0.0980743389384892,0.2672688111397643
33,compsva15,book,balloon,0.15567133245926254,0.14839676946437932,0.3696068572025473
34,compsva15,book,table,0.10110821277080484,0.19459821656389512,0.2029532447997277
35,compsva15,book,pear,0.19269368972141396,0.12692466794110524,0.30852087855039906
36,compsva15,table,balloon,0.20842354468696908,0.12653414645552238,0.3023656900424914
37,compsva15,table,book,0.18519169069957567,0.14791215383167616,0.33702396881005664
38,compsva15,table,pear,0.20261218294660105,0.12392473415772128,0.3072280033734394
39,compsva15,pear,balloon,0.14192798262192172,0.12964885543784138,0.3071658813703326
40,compsva15,pear,book,0.1148683141615666,0.2464093966642773,0.25646571880030544
41,compsva15,pear,table,0.11111678586139748,0.2343861923455264,0.24109270105039154
42,compsva23,balloon,box,0.11534293432753524,0.12232371355743535,0.3181091568093569
43,compsva23,balloon,book,0.11292641426865653,0.11628153562897,0.3057332104350782
44,compsva23,balloon,table,0.11106924440031554,0.2540838336030709,0.29069121603348663
45,compsva23,box,balloon,0.17127578588270118,0.14815975002490667,0.3746339803916693
46,compsva23,box,book,0.09223743877942278,0.09511165052659502,0.25909446961376764
47,compsva23,box,table,0.11186868141937048,0.2393971819390873,0.24715393072765618
48,compsva23,book,balloon,0.15566572372589954,0.14837851717042508,0.3695271721731171
49,compsva23,book,box,0.17065495581435508,0.19218464522567516,0.40817848423675523
50,compsva23,book,table,0.10527609545491333,0.19876755553358325,0.20375994819784496
51,compsva23,table,balloon,0.20842368630145566,0.1265339045230696,0.3023644883201943
52,compsva23,table,box,0.20276213765446965,0.12725902818639515,0.32151132745912875
53,compsva23,table,book,0.1851905562130998,0.14791445857798274,0.33706650649549014
54,compsva24,picture,bin,0.09061674444867628,0.09438147960489582,0.2601560710225447
55,compsva24,picture,table,0.1587652713425647,0.1852005456076225,0.47810321601226
56,compsva24,bin,picture,0.2315896976636899,0.2016912676858843,0.26333478436904834
57,compsva24,bin,table,0.7445875395187628,0.3743388551903557,0.42122263328115317
58,compsva24,table,picture,0.14363966989229296,0.1289090992353389,0.3319809148977351
59,compsva24,table,bin,0.13004431136090094,0.11398894566838848,0.3014815715734518
60,compsva25,picture,bin,0.10472576866190544,0.10824382143732293,0.294281707519462
61,compsva25,picture,table,0.18650229393463216,0.1897206507167036,0.5251138541818235
62,compsva25,bin,picture,0.10189863663100476,0.2162960050785668,0.2694241608461191
63,compsva25,bin,table,0.1881175799323629,0.1797285223195973,0.4763667502325959
64,compsva25,table,picture,0.14121605423973044,0.13016144927877718,0.33321903068175523
65,compsva25,table,bin,0.13211678420312145,0.1205750107745185,0.30662762165182905
66,compsva34,balloon,bin,0.10256388793219604,0.11304357411321342,0.2974870249341745
67,compsva34,balloon,table,0.11303370057761188,0.25870391786985425,0.30528322180234124
68,compsva34,bin,balloon,0.15415082435334812,0.14937380063704925,0.34979178276499306
69,compsva34,bin,table,0.78848432093658,0.3428656126587043,0.3941669676648126
70,compsva34,table,balloon,0.2067685348024673,0.13085035990120006,0.3265402127899566
71,compsva34,table,bin,0.1287414803627977,0.11337519802257752,0.3013595849804418
72,compsvi12,pencil,cup,0.08934226212576192,0.10019440991789312,0.27837305782457555
73,compsvi12,pencil,table,0.11160138227869558,0.2381118680630677,0.2479418790849399
74,compsvi12,pencil,cube,0.11365092671347173,0.10620221712199376,0.27790231126309545
75,compsvi12,cup,pencil,0.2131826843180112,0.20211248668790646,0.5791882692284118
76,compsvi12,cup,table,0.11154219423925828,0.2350153593689717,0.2431156066396496
77,compsvi12,cup,cube,0.1602360249284384,0.1424525919027189,0.3480444532870177
78,compsvi12,table,pencil,0.1979867980345372,0.1233319392530163,0.298735269158677
79,compsvi12,table,cup,0.19619766758092705,0.12335815738974072,0.295668406099538
80,compsvi12,table,cube,0.19742792809192025,0.12323366402834215,0.29748409449567315
81,compsvi12,cube,pencil,0.1733884301823675,0.15677314951927196,0.3573514142502546
82,compsvi12,cube,cup,0.11190055492303398,0.1154423864905166,0.2791855326058588
