,scene,figure,ground,Distinct Prototype,Shared Prototype,Baseline Model
0,compsva12,box,book,0.3998214914882333,0.3665380777779529,0.5129832942704358
1,compsva12,box,table,0.4969691855767597,0.4092875257607328,0.545399027687709
2,compsva12,box,pear,0.11111285861258167,0.09853662983254023,0.212919154957025
3,compsva12,book,box,0.09523875911990684,0.07826219818626991,0.21506122855452292
4,compsva12,book,table,0.871269272666802,0.6777629848587652,0.6968093096260481
5,compsva12,book,pear,0.11233367206351567,0.086209887447345,0.20201000617614756
6,compsva12,table,box,0.0879428221721747,0.07404286664072374,0.18150415845963863
7,compsva12,table,book,0.09501861177670863,0.07841750914356431,0.18544283061068795
8,compsva12,table,pear,0.0893668149970142,0.07434247784131506,0.18010866380970394
9,compsva12,pear,box,0.12939419068941338,0.09513202081715882,0.23003553573152138
10,compsva12,pear,book,0.5643697402820322,0.5240836176038081,0.5378876322069406
11,compsva12,pear,table,0.4837505459825534,0.4111460024404331,0.5409579120368494
12,compsva13,balloon,book,0.2849463653122374,0.31384606498183765,0.19221377590267205
13,compsva13,balloon,table,0.3392063633840419,0.35336383515600345,0.2065491063627446
14,compsva13,balloon,pear,0.28677320957753705,0.3168926165333282,0.19411877265578303
15,compsva13,book,balloon,0.08611609938659166,0.07334486098193208,0.17535288804273472
16,compsva13,book,table,0.8734998968512405,0.670614050105011,0.6878322680591397
17,compsva13,book,pear,0.09131731493895646,0.07514270293500203,0.18365449440785617
18,compsva13,table,balloon,0.08826255692333111,0.07354561173212719,0.17587514148268146
19,compsva13,table,book,0.09500877961637072,0.07841167607402318,0.18542326772143697
20,compsva13,table,pear,0.08877325960415264,0.07422505875220434,0.17959847430176654
21,compsva13,pear,balloon,0.08655256503790035,0.07358070458312617,0.1762255443530222
22,compsva13,pear,book,0.4342130831313219,0.4001676403644792,0.5484174323835503
23,compsva13,pear,table,0.4596889449935314,0.4037888342619426,0.534365418129049
24,compsva14,box,book,0.08568820170216862,0.07358737957751675,0.1922867252337243
25,compsva14,box,table,0.09523562993699054,0.07280073076823362,0.15157790551545036
26,compsva14,book,box,0.4458085303445323,0.4070614359145438,0.6748608155227932
27,compsva14,book,table,0.10711236311472484,0.07694205178830854,0.15409958569888152
28,compsva14,table,box,0.09413287322436907,0.08838223171776455,0.19491089267081657
29,compsva14,table,book,0.1024407957828462,0.09322264361410992,0.1975868627241548
30,compsva15,balloon,book,0.3037236422251716,0.3428832042099309,0.20413197513334552
31,compsva15,balloon,table,0.345601894061748,0.35032010158901244,0.20562820146579341
32,compsva15,balloon,pear,0.2877487418269787,0.32423207925507386,0.1984373416579801
33,compsva15,book,balloon,0.08944210991391957,0.07472250907745644,0.1874182448431822
34,compsva15,book,table,0.8734787029831124,0.6706126710390842,0.6878308943262275
35,compsva15,book,pear,0.09131727757762764,0.07514266782360454,0.18365435787154308
36,compsva15,table,balloon,0.08565431456483999,0.07274511966338575,0.17359149581861869
37,compsva15,table,book,0.09500907513493446,0.07841195340321938,0.1854242800022984
38,compsva15,table,pear,0.08877323977826099,0.07422503949452035,0.17959840038171346
39,compsva15,pear,balloon,0.08900070284573687,0.07448589404837683,0.18017730066628865
40,compsva15,pear,book,0.43585079680637656,0.40141792679319904,0.5501886369772288
41,compsva15,pear,table,0.455472843244674,0.40100353794584653,0.5307713547536052
42,compsva23,balloon,box,0.3235844766183783,0.3626099157727379,0.21240338650151552
43,compsva23,balloon,book,0.30368915706060645,0.34283561530360673,0.20411169337002266
44,compsva23,balloon,table,0.3456020016687298,0.3503199851001431,0.20562816957727167
45,compsva23,box,balloon,0.09032791756667218,0.07484102250566932,0.18958070133188204
46,compsva23,box,book,0.4107605679825752,0.3801005659342269,0.5291034925613325
47,compsva23,box,table,0.4925736433786061,0.4065112288616292,0.5428201222479611
48,compsva23,book,balloon,0.08945941192248817,0.07474121515055662,0.18748532067551604
49,compsva23,book,box,0.10120401038359897,0.08151925309954214,0.22126225884219558
50,compsva23,book,table,0.8420362258880278,0.6680259540907515,0.686792525187456
51,compsva23,table,balloon,0.08565428306538769,0.07274511221355415,0.173591359198212
52,compsva23,table,box,0.08781429912574226,0.07399683544897606,0.18144831391715024
53,compsva23,table,book,0.09501813520361953,0.07841820345340231,0.18544660442608307
54,compsva24,picture,bin,0.3335855502020795,0.31166991985077314,0.44971228401353125
55,compsva24,picture,table,0.1241986313930352,0.08838540917685947,0.20897194020612123
56,compsva24,bin,picture,0.16797660670205564,0.1481450919562892,0.2289432387270857
57,compsva24,bin,table,0.1142531514105233,0.08099913407397996,0.16716748627756
58,compsva24,table,picture,0.10656815245137978,0.09606094744262947,0.20758064551791866
