,Our Prototype,Exemplar,Conceptual Space,Best Guess,Simple,Proximity
in,0.7796607323805612,0.765576188157823,0.7510918115489956,0.9053084528306412,0.9033283123758067,0.531604313839365
inside,0.8539143212543032,0.5897113082465507,0.7774042287482165,0.8882353607450767,0.8882353607450767,0.5167685231889781
against,0.8695969608694896,0.8282166648568379,0.8752390536426731,0.709242020652268,0.7223118051817778,0.5823086400696954
on,0.8796326149213074,0.9294509797337746,0.8691763590075353,0.9384510033975998,0.8551573531002951,0.7644684823354111
on top of,0.955081285299338,0.9196147304497786,0.9547449848858114,0.8646283566987999,0.8646283566987999,0.7750665685799508
under,0.7727597838342968,0.9138915716706421,0.7125018678270785,0.8196544307775171,0.873036647790439,0.3193085256595062
below,0.9094907884011216,0.826931518225881,0.7810489762960763,0.902758502940678,0.902758502940678,0.22611067468208204
over,0.776496493725345,0.7260117318881402,0.7339714001489724,0.6692100574409704,0.6609072827388404,0.47032014687476126
above,0.8713041392539117,0.8351682655522952,0.8645533693522314,0.7663070608492291,0.7663070608492291,0.6677498609855935
Average,0.8519930133266299,0.8149525509757474,0.8133035612730658,0.8293105829258649,0.8262967424912165,0.5393006373572602
Weighted Average,0.8615926833902408,0.8469733449760519,0.8193165131004144,0.8373717364618458,0.8321632756747851,0.5440707773013935
