,Best Guess,Conceptual Space,Exemplar,Proximity,Simple
p_value,1.952233889958406e-07,1.2379214079036316e-34,8.951605721241606e-08,6.223015277861142e-61,1.2896006822156592e-09
Our model wins,136.0,181.0,137.0,200.0,142.0
Other model wins,58.0,13.0,50.0,0.0,54.0
